# morbus weapon/ammo placement overrides - Thank TTT for this lua code
# For map: mor_alphastation_b4_re
# Exported by: Demonkush ( ͡° ͜ʖ ͡°)
setting:	replacespawns 1
weapon_mor_ump	-2473.895264 183.185410 96.777672	-0.557 -18.481 88.816
weapon_mor_ka47	790.105835 1615.085083 97.467834	-0.695 -23.000 -84.731
weapon_mor_sc7	-2424.580322 180.973907 97.288162	0.398 -4.824 87.043
need_piss	-1146.990112 1843.226929 109.907509	0.000 -92.260 43.085
need_piss	-1149.072266 1737.147583 106.948837	0.069 89.330 -36.396
need_piss	-1153.620605 1631.818848 105.148956	-0.145 86.553 -32.926
need_piss	-1153.448608 1534.254272 106.343788	-0.145 88.806 -35.225
need_piss	-1164.691162 1429.346558 82.241173	-0.127 1.691 0.000
need_piss	-1155.606445 1339.676880 103.001846	0.146 -87.448 28.992
need_piss	-1168.644897 1226.867188 82.273529	-0.048 -1.861 0.000
need_piss	-700.201538 1632.678711 104.613220	-0.154 82.340 31.905
need_piss	-694.358398 1533.538452 103.584801	-0.108 86.629 29.991
need_piss	-700.943604 1429.688721 103.481766	-0.100 90.948 29.802
need_piss	-709.842468 1325.643066 105.901733	-0.067 90.991 34.283
need_piss	-707.280029 1223.509521 107.114258	-0.000 -90.151 -36.680
need_piss	-698.334167 1730.767578 103.831856	-0.118 87.878 30.440
need_piss	-708.633362 1846.621948 109.406120	0.000 96.259 41.835
mor_random_ammo	1352.598633 1537.183960 109.742508	-47.160 178.739 -161.617
mor_random_ammo	1331.367676 1541.996948 97.729591	-0.727 140.413 89.999
mor_random_ammo	1350.417603 1506.780640 107.591232	-44.380 -179.989 -179.229
mor_random_ammo	1330.106812 1417.508667 97.724197	-0.892 131.294 90.007
mor_random_ammo	1322.789917 1459.660034 95.359543	0.063 -0.000 -0.006
mor_random_ammo	1326.878906 1438.289429 95.390198	0.479 0.003 0.528
mor_random_ammo	1313.360107 1436.489990 95.393547	1.434 -0.024 -1.691
mor_random_ammo	1310.929688 1555.513794 95.392952	0.719 0.007 0.821
mor_random_ammo	1314.414673 1518.513306 95.349037	0.051 0.000 -0.014
mor_random_ammo	1330.028320 1736.024658 95.342308	0.048 0.000 -0.021
mor_random_ammo	1323.451050 1852.774170 95.343063	-0.048 -0.000 -0.021
mor_random_ammo	1328.454834 1834.083618 95.387619	0.363 -0.002 -0.385
mor_random_ammo	1316.495239 1242.742310 95.367310	0.084 0.000 0.035
mor_random_ammo	-1145.012695 -573.252686 132.394791	1.260 0.019 1.479
mor_random_ammo	-1164.012085 -587.964722 132.346832	0.050 0.000 -0.017
