# morbus weapon/ammo placement overrides - Thank TTT for this lua code
# For map: para_auriga_v2
# Exported by: Remscar
setting:	replacespawns 1
weapon_mor_ump	-1611.832520 -336.079132 -39.084171	-0.046 -17.986 89.033
weapon_mor_ump	-102.804146 1295.203613 -27.033033	0.416 -17.830 89.318
weapon_mor_ka47	-895.956604 -279.077393 -374.211945	-1.328 -21.094 -89.886
weapon_mor_ka47	-3435.795410 -638.620728 -38.546127	-0.665 -22.050 -84.516
weapon_mor_ka47	-1986.030151 -1305.694458 1.238176	-0.901 15.777 84.659
weapon_mor_sc7	-4438.021973 -1487.374756 -37.475582	1.667 -2.187 61.659
weapon_mor_sc7	-4091.703613 -930.961121 -38.690247	0.199 -4.371 87.376
mor_random_ammo	1802.712280 -571.490540 -39.609768	0.475 0.003 0.522
mor_random_ammo	1811.412720 -547.460999 -39.632683	0.084 0.000 0.035
mor_random_ammo	1799.351440 -528.214600 -39.679878	0.047 0.000 -0.034
mor_random_ammo	2513.843994 -986.681580 -279.639557	-0.061 0.000 -0.006
mor_random_ammo	2490.484619 -974.430115 -279.621796	-0.129 -0.000 0.096
mor_random_ammo	2545.265137 -1081.878418 -279.664093	-0.045 -0.000 -0.026
mor_random_ammo	2574.661133 -1127.807373 -279.639923	-0.460 -0.176 0.513
mor_random_ammo	2513.049316 -1134.362427 -279.619873	-0.146 -0.001 0.119
mor_random_ammo	2519.015625 -1100.015137 -279.625610	-0.105 -0.000 0.066
mor_random_ammo	2477.891113 -1097.894043 -279.614380	-0.197 -0.292 0.472
mor_random_ammo	2501.418701 -461.064545 -375.555695	1.086 0.028 1.314
mor_random_ammo	2468.078369 -470.801575 -375.636475	0.072 0.000 0.019
mor_random_ammo	1819.741455 -590.268372 -375.593323	-0.828 -0.009 0.953
mor_random_ammo	1857.476074 -607.850220 -375.637390	-0.067 -0.000 0.012
mor_random_ammo	2001.138428 -12.144849 -375.563568	1.218 0.030 1.471
mor_random_ammo	2043.266724 -2.632323 -375.650970	0.050 0.000 -0.014
mor_random_ammo	1463.510376 -335.175934 -375.655090	-0.009 -0.110 -0.128
mor_random_ammo	1484.405396 -298.276733 -375.622162	0.149 0.001 0.120
mor_random_ammo	1476.896606 -276.020966 -375.646667	0.053 0.000 -0.008
mor_random_ammo	1198.072632 -7.985667 -375.630676	0.126 0.044 0.135
mor_random_ammo	1194.243408 -45.832008 -375.662384	0.046 0.000 -0.025
mor_random_ammo	1373.064819 -834.179138 -375.616669	0.255 -0.118 0.263
mor_random_ammo	1405.381104 -824.958435 -375.605652	0.928 0.011 1.076
mor_random_ammo	649.925659 -955.464294 -375.631409	-0.083 -0.000 0.035
mor_random_ammo	621.345459 -1256.355591 -295.805542	0.280 0.839 -107.808
mor_random_ammo	186.822159 -1201.578003 -314.057922	0.277 0.830 -107.844
mor_random_ammo	68.410316 -1202.992188 -313.581726	0.277 0.831 -107.870
mor_random_ammo	-124.161240 -1271.115845 -290.900330	0.288 0.864 -107.727
mor_random_ammo	327.018799 -1123.351074 -340.179138	0.298 0.916 -107.595
mor_random_ammo	168.132126 -310.962006 -327.543396	-0.288 0.863 107.727
mor_random_ammo	334.686920 -317.291840 -329.661530	-0.294 0.884 107.683
mor_random_ammo	431.591736 -313.297943 -328.282349	-0.274 0.821 107.942
mor_random_ammo	-680.023682 -991.987183 -375.620636	0.161 -0.001 -0.137
mor_random_ammo	-538.602478 -988.191101 -375.619812	-0.150 -0.001 0.123
mor_random_ammo	-531.630981 -936.808655 -375.633392	-0.076 -0.000 0.026
mor_random_ammo	-4989.191406 -106.782112 -39.532581	-0.719 8.199 0.019
mor_random_ammo	-5054.340820 26.992136 -37.168972	87.854 -68.503 -114.039
mor_random_ammo	-5131.403320 63.614285 -36.372787	-89.135 99.626 105.894
mor_random_ammo	-5224.416992 171.338699 -36.340969	-89.918 178.949 -168.607
mor_random_ammo	-5515.026855 -272.977753 -29.490452	0.301 -117.765 179.965
mor_random_ammo	-5510.444336 -243.046158 -36.341209	-89.342 -132.019 -178.768
mor_random_ammo	-5343.975098 -382.172577 -37.345005	1.037 107.213 -90.007
mor_random_ammo	-5342.377441 -574.366943 -39.641537	-0.060 -0.000 0.001
mor_random_ammo	-4765.850098 -489.976837 -39.646114	-0.138 0.065 -0.763
mor_random_ammo	-4678.939941 -563.164917 -39.650990	0.050 0.000 -0.014
mor_random_ammo	-4708.341797 -541.374390 -39.582355	-0.051 0.067 -0.114
mor_random_ammo	-4704.079590 -741.459595 -39.609711	0.467 0.003 0.513
mor_random_ammo	-4691.246094 -842.374939 -39.612076	0.365 0.002 0.387
mor_random_ammo	-220.716171 1128.699585 -27.515938	-0.149 0.387 0.295
mor_random_ammo	-220.741913 1148.689575 -27.499126	-0.797 -0.358 -0.965
mor_random_ammo	-235.417740 1135.478638 -27.650946	0.051 -0.000 0.014
mor_random_ammo	-43.849888 1144.930908 -25.273293	89.216 -130.736 -90.391
mor_random_ammo	-20.699568 1174.784058 -25.243101	90.000 179.974 180.000
mor_random_ammo	-47.766773 1168.457153 -27.553596	-1.267 1.297 -0.034
mor_random_ammo	-31.645578 1117.899414 -27.509418	-0.117 -0.298 -0.005
mor_random_ammo	-45.616058 1117.258667 -25.242634	89.930 -172.847 -170.075
mor_random_ammo	-44.589634 1208.012085 -25.268452	-0.686 44.712 90.002
mor_random_ammo	-44.855686 1244.777466 -25.311787	-0.586 -61.254 -89.993
mor_random_ammo	-43.137691 1229.226196 -25.324541	-2.069 -55.184 89.821
mor_random_ammo	-50.074104 1205.229858 -27.555357	0.056 -6.237 -1.333
mor_random_ammo	-1836.120117 -3393.869385 -373.315735	1.334 -35.443 89.966
mor_random_ammo	-1692.331055 -3396.515381 -373.274841	0.615 -45.879 90.005
mor_random_ammo	-839.635315 -3174.137451 -373.299896	-0.290 7.703 -90.001
mor_random_ammo	-824.343018 -3169.056885 -373.286774	88.802 64.613 -65.958
mor_random_ammo	-833.345642 -3139.005615 -341.101440	-0.167 1.860 -1.709
mor_random_ammo	-8.517021 -3336.490723 -375.125702	-8.514 -0.124 0.089
mor_random_ammo	-8.857471 -3347.474365 -375.292633	-6.069 -0.404 0.300
weapon_mor_r22	-2948.440430 -821.250427 -38.446911	-1.332 -1.031 86.835
weapon_mor_vek	-960.329529 -346.466431 -374.879852	-0.006 -2.658 89.408
weapon_mor_vek	-2432.437988 -818.255798 -374.944305	0.321 -3.140 88.089
weapon_mor_vek	-5452.297363 54.856396 -38.880798	-0.015 -2.659 89.447
weapon_mor_vek	-1634.276001 -1623.518677 1.340923	-2.078 3.782 -89.210
weapon_mor_vek	-1630.538818 -1600.260742 1.109755	0.388 -2.707 88.339
weapon_mor_vek	-1723.423584 -1611.848877 1.236875	1.162 -3.811 84.461
weapon_mor_vek	-1723.619019 -1602.892700 1.600389	0.754 -4.301 78.245
weapon_mor_vek	-928.667542 -1167.785645 -38.881477	-0.021 -2.660 89.475
weapon_mor_uzi	-3450.728516 -772.702148 -373.962463	0.000 0.000 0.000
weapon_mor_uzi	-2463.560791 -649.359863 -37.962448	0.000 0.000 0.000
item_ammo_smg1_mor	-968.515198 -370.836517 -375.511566	-0.037 0.052 -0.032
item_ammo_smg1_mor	-985.267151 -352.536987 -375.588776	0.268 -0.005 0.168
item_ammo_smg1_mor	-986.056396 -332.704773 -375.479187	-0.744 0.182 -0.206
item_ammo_smg1_mor	-2465.797119 -807.448975 -375.536072	-0.063 -0.296 0.415
item_ammo_smg1_mor	-2436.470947 -807.557007 -374.624695	-0.136 0.180 -6.294
item_ammo_smg1_mor	-5426.144043 112.816963 -39.548779	0.026 0.041 0.014
item_ammo_smg1_mor	-5427.375000 79.898605 -39.499340	-0.826 0.011 -0.617
item_ammo_smg1_mor	-2923.673340 -834.205261 -39.537922	-0.253 -0.004 0.036
item_ammo_smg1_mor	-2909.939453 -814.019897 -39.522419	-0.503 0.001 0.218
item_ammo_smg1_mor	-2893.748047 -836.081299 -39.500458	0.193 -0.064 -0.005
item_ammo_smg1_mor	-1595.872192 -295.328705 -39.141346	-3.721 -0.121 -0.187
item_ammo_smg1_mor	-1617.415527 -291.033417 -39.482609	-0.239 0.013 -0.209
item_ammo_smg1_mor	-1597.372559 -249.683105 -39.536232	0.432 4.221 0.240
item_ammo_smg1_mor	-164.333679 1284.583130 -27.471571	-0.262 0.687 -0.139
item_ammo_smg1_mor	-172.372467 1304.546997 -27.503479	-0.324 -0.036 -0.243
item_ammo_smg1_mor	-185.121490 1324.622803 -25.002975	0.444 -4.071 17.238
item_ammo_smg1_mor	-1664.587158 -1617.902588 0.584694	0.023 0.123 -0.329
item_ammo_smg1_mor	-1664.280762 -1616.803711 14.416166	-0.001 4.001 -0.460
item_ammo_smg1_mor	-1679.026123 -1617.034668 0.542328	-0.053 -0.792 0.094
item_ammo_smg1_mor	-1678.727417 -1617.002563 14.384285	-0.118 0.109 0.134
item_ammo_smg1_mor	-1671.246338 -1617.705688 28.283756	0.474 -2.199 -0.508
item_ammo_smg1_mor	-1757.148315 -1617.687622 0.491615	0.200 -0.329 -0.283
item_ammo_smg1_mor	-1758.524292 -1611.922607 14.248090	0.355 -0.137 -0.087
item_ammo_smg1_mor	-1778.455200 -1617.561768 0.512161	-0.186 -1.079 0.226
item_ammo_smg1_mor	-1775.761597 -1617.838135 14.319569	0.421 -0.464 0.190
item_ammo_smg1_mor	-945.520752 -1135.884888 -39.523075	0.079 0.222 -0.376
item_ammo_smg1_mor	-952.717407 -1159.668823 -39.464588	-0.145 0.017 -0.127
weapon_mor_p229	-1918.615723 -556.711975 -36.085342	36.357 3.134 -0.876
weapon_mor_p229	-1997.274170 -1209.363159 1.322438	-1.288 -30.869 -90.382
weapon_mor_p229	-1984.772095 -1217.784302 1.415758	-0.358 -32.089 -89.825
info_alien_spawn	3399.973633 -769.410950 -4127.431152	-0.036 -0.000 0.039
info_alien_spawn	3366.233643 -904.075500 -4127.461426	-0.074 -0.000 0.074
info_alien_spawn	3290.839844 -1049.829346 -4127.475586	-0.092 -0.000 0.092
