# morbus weapon/ammo placement overrides - Thank TTT for this lua code
# For map: mor_breach_b1
# Exported by: Remscar
setting:	replacespawns 1
weapon_mor_ump	3224.757324 -632.252136 73.393501	-0.039 -17.644 89.034
weapon_mor_ump	-921.165283 -924.291748 60.879452	-0.172 -17.772 89.140
weapon_mor_sc7	3810.626221 2974.656738 33.717812	0.306 -5.462 -81.655
weapon_mor_sc7	3764.515381 -1106.351196 81.633278	-0.009 -4.579 87.618
weapon_mor_sc7	4548.180664 -1509.421021 33.288841	0.392 -4.825 87.054
weapon_mor_sc7	3215.795410 -266.804688 73.813766	-0.020 1.222 87.739
weapon_mor_sc7	3218.499023 -207.723419 73.811043	0.006 -4.895 87.697
need_piss	4493.566406 1186.481323 79.676727	0.017 -0.984 90.150
need_piss	4358.677734 1201.575562 79.676727	0.017 1.480 90.150
need_piss	4236.966797 1203.585693 79.676727	0.017 -2.744 90.150
need_piss	4123.014648 1193.363647 79.676727	0.017 1.832 90.150
need_piss	4004.608887 1198.654907 79.676727	0.017 0.776 90.150
need_piss	3881.453125 1201.441406 79.676727	0.017 0.776 90.150
need_piss	3639.469238 1196.733765 79.676727	0.017 30.697 90.150
need_piss	3759.303955 1204.101318 79.676727	0.017 1.129 90.150
need_piss	3644.274170 1310.260376 79.676727	0.017 -179.447 90.150
need_piss	3780.157715 1304.197754 79.676727	0.017 -179.447 90.150
need_piss	3895.409668 1301.139282 79.676727	0.017 -179.447 90.150
need_piss	4012.187012 1304.078125 79.676727	0.017 -177.687 90.150
need_piss	4129.330078 1309.119629 79.676727	0.017 177.737 90.150
need_piss	4254.959473 1303.810913 79.676727	0.017 -175.223 90.150
need_piss	4375.777344 1306.179810 79.676727	0.017 -179.447 90.150
need_piss	4494.674805 1303.756714 79.676727	0.017 -179.447 90.150
mor_random_ammo	-445.652649 2257.234619 32.332829	0.047 0.000 -0.028
mor_random_ammo	-401.249817 2257.051514 32.353348	0.055 0.000 -0.007
mor_random_ammo	-355.042450 2256.856934 32.365429	0.077 0.000 0.026
mor_random_ammo	-311.761749 2256.674072 32.322739	0.047 0.000 -0.033
mor_random_ammo	-264.462128 2256.474121 32.349037	0.051 0.000 -0.014
mor_random_ammo	-205.822784 1522.073486 32.327862	0.047 0.000 -0.031
mor_random_ammo	-231.391434 1522.130371 32.414539	1.651 -0.035 -1.995
mor_random_ammo	378.386139 1586.185181 60.568047	1.475 0.035 1.788
mor_random_ammo	379.045868 1617.074585 60.504093	0.072 0.000 0.019
mor_random_ammo	379.903992 1655.412109 60.470955	0.046 0.000 -0.029
mor_random_ammo	380.793671 1695.281616 60.513351	0.109 0.000 0.069
mor_random_ammo	2844.551758 2227.919189 32.356350	-0.057 -0.000 -0.003
mor_random_ammo	2848.960205 2199.964111 32.389793	-0.286 -0.001 0.290
mor_random_ammo	2869.362549 2245.448242 32.382126	-0.172 -0.001 0.148
mor_random_ammo	2891.301514 2247.604004 32.450176	-1.605 -0.043 1.954
mor_random_ammo	2874.376465 2219.271973 32.352047	-0.053 -0.000 -0.011
mor_random_ammo	4593.876465 1684.942505 32.363506	0.073 0.000 0.019
mor_random_ammo	4597.209961 1671.556030 32.374500	0.121 0.000 0.084
mor_random_ammo	4579.443848 1683.695190 32.357525	0.060 0.000 0.001
mor_random_ammo	4581.146484 1667.759521 32.367317	0.084 0.000 0.036
mor_random_ammo	3855.531982 1307.107422 32.395676	-0.417 -0.003 0.451
mor_random_ammo	3833.562256 1307.972412 32.343079	-0.048 -0.000 -0.021
mor_random_ammo	4327.659180 1309.553589 32.392345	0.713 -0.007 -0.813
mor_random_ammo	4290.960938 1307.291748 32.394608	1.090 0.015 1.273
mor_random_ammo	3641.616211 969.459839 32.364651	-0.073 -0.000 0.020
mor_random_ammo	3637.367676 996.970947 32.343079	-0.048 -0.000 -0.021
mor_random_ammo	3636.753418 1025.879150 32.320873	-0.047 -0.000 -0.034
mor_random_ammo	3930.045898 1181.756470 32.404461	-0.740 -0.007 0.846
mor_random_ammo	3955.919922 1194.440063 32.450703	-1.400 -0.032 1.692
mor_random_ammo	4568.294922 1190.703247 32.349049	0.051 0.000 -0.014
mor_random_ammo	4559.313965 1151.033081 32.332859	0.047 -0.000 0.028
mor_random_ammo	4544.618652 1168.737915 32.433979	1.357 -0.033 -1.651
mor_random_ammo	5037.978027 54.173180 32.335278	0.047 -0.000 0.027
mor_random_ammo	5025.028320 55.221123 32.439648	1.190 0.029 1.440
mor_random_ammo	4878.857422 -843.330811 32.379318	0.170 -0.001 -0.146
mor_random_ammo	4881.839844 -1254.371338 32.377827	0.152 0.001 0.124
mor_random_ammo	4881.751953 -1820.921875 32.442871	1.078 0.028 1.301
mor_random_ammo	5041.876465 -2480.805176 32.433014	1.320 0.032 1.597
mor_random_ammo	5042.813965 -2463.568848 32.335255	0.047 0.000 -0.027
mor_random_ammo	4073.525635 -2328.662354 32.383949	0.246 0.001 0.241
mor_random_ammo	2679.514160 -2317.581543 32.361542	0.067 0.000 0.012
mor_random_ammo	2603.447510 -2316.729004 32.377838	0.151 0.001 0.122
mor_random_ammo	2079.630859 -2477.944092 32.320122	0.047 0.000 -0.034
mor_random_ammo	2206.009766 -1894.457642 32.387901	0.368 0.002 0.391
mor_random_ammo	2211.901367 -1944.806396 32.322742	0.047 0.000 -0.033
mor_random_ammo	2807.355469 -1680.574219 62.503540	-0.411 -0.019 0.495
mor_random_ammo	2829.374268 -1678.521606 62.376019	-0.052 -0.000 -0.011
mor_random_ammo	2853.718506 -1677.898560 62.394310	-0.088 -0.000 0.043
mor_random_ammo	2879.541504 -1676.763428 62.486992	-0.825 -0.024 0.986
mor_random_ammo	2912.967773 -1676.067871 62.476711	0.721 0.022 0.855
mor_random_ammo	2934.458496 -1675.508545 62.379356	0.054 0.000 -0.006
mor_random_ammo	2956.016357 -1674.971924 62.368637	0.047 0.000 -0.020
mor_random_ammo	2987.687500 -1674.183960 62.389221	0.071 0.000 0.020
mor_random_ammo	3015.717285 -1673.487183 62.377281	0.052 0.000 -0.009
mor_random_ammo	3040.040771 -1672.882324 62.391079	0.078 0.000 0.029
mor_random_ammo	3534.724365 -968.609680 81.179375	-0.073 0.000 -0.029
mor_random_ammo	3518.585205 -969.335754 81.155457	0.050 -0.000 0.010
