# morbus weapon/ammo placement overrides - Thank TTT for this lua code
# For map: mor_breach_cv21
# Exported by: Demonkush
setting:	replacespawns 1
weapon_mor_ump	-1753.114624 -1271.542114 128.762039	-0.520 -18.448 88.746
weapon_mor_ump	2618.915527 -753.532959 -223.224930	-0.551 -18.476 88.804
weapon_mor_ka47	2371.597656 401.399292 -222.538895	-0.680 -23.000 -84.628
weapon_mor_ka47	767.212830 -2044.919556 65.444946	-0.661 -22.882 -84.394
weapon_mor_ka47	2458.708496 968.767517 65.466400	-0.692 -23.000 -84.709
weapon_mor_ka47	1707.608887 3064.503418 -158.527863	-0.704 -22.999 -84.798
weapon_mor_ka47	553.448242 3948.639648 -222.542465	-0.673 -23.000 -84.573
weapon_mor_ka47	3258.200439 -2852.099121 64.929146	-0.762 -20.945 -85.210
weapon_mor_sc7	-1121.745117 -3831.049072 33.295788	0.328 -4.623 87.160
mor_random_ammo	-667.298279 -1700.694702 32.311932	0.046 0.000 -0.036
mor_random_ammo	-647.481445 -1698.757568 32.367279	0.079 0.000 0.032
mor_random_ammo	-630.881714 -1691.291016 32.365387	0.073 0.000 0.024
mor_random_ammo	-619.351624 -1673.081909 32.369129	0.087 0.000 0.042
mor_random_ammo	-604.908752 -1691.721191 32.369133	0.086 0.000 0.042
mor_random_ammo	-645.992310 -1709.960083 32.346767	0.048 0.000 -0.017
mor_random_ammo	3456.430176 -3646.398926 32.339924	0.046 0.000 -0.023
mor_random_ammo	3535.184570 -3657.786621 32.357460	0.057 0.000 0.000
mor_random_ammo	3545.632324 -3683.520752 32.339943	0.046 -0.000 0.023
mor_random_ammo	3529.134521 -3717.934570 32.346767	0.048 0.000 -0.017
mor_random_ammo	3506.720215 -3717.274902 32.405334	0.686 -1.065 -0.389
mor_random_ammo	3500.887695 -3716.784424 32.388237	0.088 1.355 0.561
mor_random_ammo	3523.750977 -3767.685059 32.395115	1.207 0.018 1.417
mor_random_ammo	3541.988281 -3793.691650 32.322659	0.045 0.000 -0.032
mor_random_ammo	3497.246826 -3845.820801 32.376099	0.128 -0.000 -0.095
mor_random_ammo	3480.402588 -3844.196533 32.420246	1.465 0.033 1.761
mor_random_ammo	3505.402100 -3760.661621 32.365368	0.074 -0.000 -0.024
mor_random_ammo	3513.323486 -3623.964111 32.392651	0.668 -0.006 -0.761
mor_random_ammo	3514.092773 -3675.416016 32.353291	0.052 0.000 -0.008
mor_random_ammo	3179.642578 -3819.392822 32.348976	0.049 0.000 -0.014
mor_random_ammo	3158.259033 -3781.895020 32.355392	0.055 0.000 -0.004
mor_random_ammo	3113.416260 -3722.917725 32.370945	0.095 0.000 0.053
mor_random_ammo	3145.625977 -3669.265137 32.394550	0.892 0.010 1.034
mor_random_ammo	3147.581543 -3613.235107 32.459782	0.675 0.022 0.809
mor_random_ammo	3167.383057 -3601.758301 32.363457	0.069 0.000 0.017
mor_random_ammo	3190.632813 -3638.242188 32.409058	1.646 0.033 1.973
mor_random_ammo	3140.549561 -3699.636230 32.353287	0.053 0.000 -0.008
mor_random_ammo	3165.679443 -3779.214600 32.485935	1.244 -0.107 1.508
mor_random_ammo	3113.428223 -3836.970459 32.359501	0.060 0.000 0.004
mor_random_ammo	3187.087402 -3817.088867 32.481949	1.772 -0.088 2.149
mor_random_ammo	3208.343262 -3831.010010 32.382576	0.198 0.001 0.184
mor_random_ammo	3178.129150 -3756.445068 32.361492	0.064 0.000 0.011
mor_random_ammo	3151.408691 -3753.655273 32.428741	1.298 0.032 1.560
mor_random_ammo	3152.528320 -3697.861084 32.376167	0.129 0.000 0.097
mor_random_ammo	3181.482666 -3674.263428 32.446980	0.894 0.025 1.068
mor_random_ammo	299.315033 1645.210938 255.925415	-0.005 1.906 0.000
mor_random_ammo	286.159485 1636.071411 255.924057	-0.007 -0.021 0.000
