# morbus weapon/ammo placement overrides - Thank TTT for this lua code
# For map: mor_chemical_labs_b3_re
# Exported by: ¤DLq¤™ Remscar
setting:	replacespawns 0
weapon_mor_ump	-1839.966553 -487.657654 0.768047	-0.534 -18.461 88.773
weapon_mor_ka47	988.559021 460.370178 65.487091	-0.801 -23.343 -85.467
weapon_mor_sc7	1986.292725 967.492737 1.298143	0.078 -4.868 87.367
weapon_mor_sc7	1668.113647 -492.151184 32.186203	-0.004 -4.794 87.715
weapon_mor_sc7	1090.527954 -2124.758301 1.726885	0.618 -2.492 -80.726
weapon_mor_sc7	-989.024963 73.345901 1.289041	-0.189 -14.635 88.332
need_piss	-479.028229 -1507.208130 47.735214	0.008 -91.511 -90.001
need_piss	-482.895813 -1585.853760 47.735214	0.008 -87.287 -90.001
need_piss	-466.296936 -1725.546631 47.735214	0.008 -89.047 -90.001
need_piss	-469.590759 -1647.798218 47.735214	0.008 -89.047 -90.001
need_piss	-569.327087 -1723.020996 47.735214	0.008 90.025 -90.001
need_piss	-571.579712 -1646.475098 47.735214	0.008 89.321 -90.001
need_piss	-569.123779 -1578.721802 47.735214	0.008 89.321 -90.001
need_piss	-571.055725 -1504.445679 47.735214	0.008 89.321 -90.001
mor_random_ammo	1649.212158 -367.289246 31.334230	0.355 -0.019 -0.432
mor_random_ammo	1651.885498 -355.050537 31.311266	0.877 -0.025 -1.065
mor_random_ammo	1898.651611 -414.678650 32.390705	0.550 -0.004 -0.614
mor_random_ammo	1891.282471 -456.062347 32.365406	0.077 -0.000 -0.026
mor_random_ammo	-305.540283 -2252.807129 0.365429	0.077 0.000 0.025
mor_random_ammo	-340.947266 -2273.729980 0.335250	0.047 0.000 -0.027
mor_random_ammo	-292.412384 -2213.822510 0.434939	1.257 0.031 1.519
mor_random_ammo	686.938721 -3057.608154 0.335273	0.047 -0.000 0.027
mor_random_ammo	-1260.837036 -1837.298462 64.320107	0.047 0.000 -0.034
mor_random_ammo	-1242.961304 -1840.835327 64.414421	1.642 0.035 1.979
mor_random_ammo	-1731.497925 -1497.305054 64.394157	0.953 0.011 1.106
mor_random_ammo	-1706.721436 -1508.373169 64.342300	0.048 0.000 -0.022
mor_random_ammo	-32.247368 2832.770752 31.323977	0.583 -0.021 -0.707
mor_random_ammo	-47.288208 2828.596680 31.312834	0.869 -0.025 -1.057
