# morbus weapon/ammo placement overrides - Thank TTT for this lua code
# For map: mor_facility_b2_re
# Exported by: Demonkush ( ͡° ͜ʖ ͡°)
setting:	replacespawns 1
need_piss	0.000000 0.000000 0.000000	0.000 0.000 0.000
need_piss	3246.901611 -1980.876709 -1261.706543	-0.001 3.937 0.001
need_piss	3251.518799 -1855.032837 -1261.805786	-0.060 -0.001 -0.034
need_piss	3246.589355 -1723.269775 -1261.737061	0.041 0.006 0.022
need_piss	3245.960449 -1604.900513 -1261.860474	-0.009 -0.001 -0.010
need_piss	3245.274658 -1473.449829 -1261.798584	-0.082 -0.001 -0.044
need_piss	3244.677246 -1350.946899 -1261.849243	-0.014 0.001 0.012
mor_random_ammo	3545.076660 800.634094 -1255.606201	0.806 0.008 0.927
mor_random_ammo	3562.466797 771.026367 -1255.546021	0.895 0.025 1.085
mor_random_ammo	3576.134033 796.717712 -1255.674683	0.047 0.000 -0.032
mor_random_ammo	3792.243408 306.734741 -1231.304321	0.079 -0.000 -0.033
mor_random_ammo	3564.125732 25.839844 -1255.620483	0.168 0.001 0.144
mor_random_ammo	3542.961426 513.101135 -1255.660034	0.047 0.000 -0.023
mor_random_ammo	3572.385010 507.211670 -1255.642456	0.059 0.000 0.001
mor_random_ammo	3574.764648 477.530090 -1255.582886	1.686 0.035 2.044
mor_random_ammo	3774.044434 -324.386017 -1279.674805	0.047 0.000 -0.032
mor_random_ammo	3869.940674 -1165.818970 -1279.558960	1.131 0.029 1.367
mor_random_ammo	3872.125000 -1242.190063 -1279.636597	0.071 0.000 0.018
mor_random_ammo	3779.782227 -1570.518677 -1279.629517	-0.091 -0.000 0.046
mor_random_ammo	3786.651123 -1581.399414 -1279.676636	-0.047 -0.000 -0.033
mor_random_ammo	3853.331055 -3235.133545 -1279.622314	0.149 -0.001 -0.119
mor_random_ammo	3866.891602 -3251.301025 -1279.674805	0.047 0.000 -0.032
mor_random_ammo	2087.790039 -2902.627197 -1279.655518	0.049 0.000 -0.019
mor_random_ammo	1353.552124 -1391.258301 -1279.664063	-0.047 -0.000 -0.027
mor_random_ammo	1389.506836 -1405.789307 -1279.537598	-1.148 -0.029 1.397
mor_random_ammo	1609.240601 -295.354004 -1247.632690	0.083 0.000 0.035
mor_random_ammo	1629.786987 -286.573517 -1247.622192	0.147 0.001 0.118
mor_random_ammo	1629.912720 -317.541595 -1247.609741	0.476 0.003 0.524
mor_random_ammo	1614.202271 -268.443756 -1247.550537	0.959 0.026 1.159
mor_random_ammo	1638.273438 -264.730774 -1247.657715	0.048 0.000 -0.022
mor_random_ammo	1693.507568 98.091301 -1279.661743	-0.047 -0.000 -0.025
mor_random_ammo	1299.648438 1213.369507 -1279.669678	0.046 0.000 -0.029
mor_random_ammo	294.222260 1278.870239 -1279.553345	0.963 0.026 1.159
mor_random_ammo	283.591553 1249.956787 -1279.550293	0.979 0.026 1.185
mor_random_ammo	320.775055 1265.883911 -1279.562866	1.161 -0.029 -1.399
mor_random_ammo	-1744.231201 1515.181885 -631.642456	0.059 0.000 0.001
mor_random_ammo	2074.700195 -784.261536 -1279.617798	0.218 -0.001 -0.206
mor_random_ammo	2055.314453 -758.331482 -1279.609863	0.472 0.003 0.519
weapon_mor_r22	-291.505951 -3217.197021 -542.440308	-1.326 -1.033 86.965
weapon_mor_vek	-37.874443 -532.241455 -254.906738	0.629 -3.086 88.463
weapon_mor_uzi	-572.280884 1035.514282 -1189.962402	0.000 0.000 0.000
weapon_mor_lz400	2325.920898 -691.011780 -1279.495483	-2.297 -18.123 85.766
item_ammo_smg1_mor	-619.398193 -3244.239502 -255.593445	0.214 -0.005 0.132
item_ammo_smg1_mor	3542.153076 323.741272 -1255.491211	-0.394 0.011 -0.319
item_ammo_smg1_mor	3558.939697 576.901184 -1255.588745	0.266 -0.005 0.167
item_ammo_smg1_mor	3956.503174 1134.726440 -1279.603271	0.136 -0.005 0.079
item_ammo_smg1_mor	2470.933594 1793.664795 -1279.514771	-0.796 0.003 -0.646
item_ammo_smg1_mor	2182.361572 -458.752350 -1279.593750	0.105 -0.230 0.071
item_ammo_smg1_mor	796.678223 -3121.139648 -1279.586548	-0.297 0.005 0.188
item_ammo_smg1_mor	1076.132568 -958.510132 -1279.559082	-0.043 -0.541 -0.079
item_ammo_smg1_mor	1508.621704 -345.473907 -1247.454346	-0.093 0.018 -0.082
item_ammo_smg1_mor	1458.388184 -209.743927 -1247.473267	-0.193 0.016 -0.169
item_ammo_smg1_mor	1874.959961 -190.443481 -1279.485474	-0.258 0.012 -0.226
item_ammo_smg1_mor	2357.935303 493.306458 -1279.591187	0.239 -0.005 0.148
item_ammo_smg1_mor	1987.508789 1223.511719 -1279.465942	-0.154 0.017 -0.135
item_ammo_smg1_mor	428.024811 1391.807739 -1279.486938	-0.138 0.002 -0.108
item_ammo_smg1_mor	-825.550720 1014.652161 -1191.588745	0.269 -0.005 0.169
item_ammo_smg1_mor	-150.919296 1379.500000 -255.450821	-0.074 0.018 -0.065
item_ammo_smg1_mor	-514.059509 1977.060181 -223.490204	-0.319 0.012 -0.264
item_ammo_smg1_mor	-351.419678 1803.255371 -255.473251	0.193 -0.016 -0.168
item_ammo_smg1_mor	-279.731567 814.836426 -255.586502	0.300 -0.005 0.190
item_ammo_smg1_mor	983.041992 1471.946411 -255.500229	-0.840 0.011 -0.624
item_ammo_smg1_mor	-418.702911 26.220505 -255.489227	-0.326 0.011 -0.275
item_ammo_smg1_mor	-1931.573975 -2273.730957 -255.575577	0.528 -0.004 0.342
item_ammo_smg1_mor	-613.504395 -3215.757568 -639.486877	-0.275 0.012 -0.239
item_ammo_smg1_mor	-286.121796 -1474.705078 -1279.502319	0.866 0.013 -0.642
item_ammo_smg1_mor	1677.921509 -1627.577271 -1279.477295	-0.215 0.016 -0.188
item_ammo_smg1_mor	-61.962337 -2267.635986 -255.516556	-0.375 -0.001 -0.368
item_ammo_smg1_mor	-34.168427 -563.185547 -255.515778	-0.793 0.003 -0.641
item_ammo_smg1_mor	-284.299225 -3240.927002 -543.521729	0.504 -0.001 0.217
mor_random_rifle	1222.319336 -1374.587280 -1279.133789	2.093 -5.688 83.879
mor_random_rifle	1445.147583 -257.265900 -1247.140015	2.172 -5.784 83.942
mor_random_rifle	1590.393311 -184.839325 -1247.139282	2.162 -5.783 83.934
mor_random_rifle	476.132965 -1694.914673 -1279.140991	2.184 -5.785 83.951
mor_random_rifle	-330.236816 -1732.837280 -1279.135376	2.113 -5.691 83.896
mor_random_rifle	-147.168961 -1444.084717 -1279.137939	2.145 -5.699 83.921
mor_random_rifle	2279.333252 -2899.901123 -1279.135376	2.112 -5.691 83.895
mor_random_rifle	4067.108398 -3036.210449 -1279.126831	1.990 -5.920 83.912
mor_random_rifle	3566.265137 215.788940 -1255.144409	2.228 -5.791 83.986
mor_random_rifle	3566.769043 121.969482 -1255.144409	2.228 -5.791 83.986
mor_random_rifle	3880.338623 2264.773193 -1279.137207	2.136 -5.697 83.914
mor_random_rifle	2078.036377 500.056549 -1279.138794	2.156 -5.706 83.929
mor_random_rifle	967.892822 1235.015259 -1279.140381	2.176 -5.784 83.945
mor_random_rifle	23.341328 1208.786377 -1279.146362	2.251 -5.792 84.004
mor_random_rifle	-1368.108887 1222.935425 -1191.144897	2.233 -5.790 83.990
mor_random_rifle	-1264.708252 1009.631653 -255.147095	2.261 -5.796 84.012
mor_random_rifle	-605.868530 1991.049316 -223.146317	2.251 -5.792 84.004
mor_random_rifle	-557.951965 1937.211426 -223.145355	2.239 -5.793 83.995
mor_random_rifle	-331.233734 917.439819 -255.139420	2.164 -5.783 83.936
mor_random_rifle	-995.485779 834.017883 -255.133774	2.093 -5.781 83.880
mor_random_rifle	-411.425446 -415.020752 -223.152557	1.994 -5.926 83.717
mor_random_rifle	-148.279404 -2523.541016 -255.140976	2.184 -5.785 83.951
mor_random_rifle	-617.613342 -2980.212402 -255.144165	2.152 -5.452 83.883
mor_random_rifle	-1774.838013 -2040.642334 -255.163055	2.217 -6.180 84.093
mor_random_rifle	-39.798512 -2134.920410 -255.132629	2.079 -5.781 83.868
mor_random_rifle	549.546021 866.617920 -1279.140625	2.180 -5.785 83.948
mor_random_rifle	1741.895630 -585.463379 -1279.134766	2.105 -5.690 83.889
mor_random_rifle	1652.366211 -1804.375244 -1279.137329	2.137 -5.697 83.915
mor_random_rifle	94.298241 -1877.884521 -1279.132568	2.077 -5.781 83.868
mor_random_rifle	1486.969727 -3228.302490 -1278.966064	2.301 2.885 -84.866
mor_random_rifle	3874.792236 132.807999 -1279.094727	2.310 0.517 -84.143
mor_random_rifle	3566.083740 174.999039 -1255.142212	2.200 -5.787 83.964
mor_random_rifle	3309.473389 -1977.532593 -1279.144043	2.222 -5.788 83.981
mor_random_rifle	3595.526611 -986.763916 -1279.134277	2.099 -5.688 83.884
mor_random_rifle	-615.286743 1008.929138 -255.137955	2.146 -5.782 83.921
mor_random_rifle	-988.636902 1398.261719 -255.137711	2.143 -5.783 83.919
mor_random_rifle	1116.600098 1245.641602 -255.140640	2.180 -5.785 83.948
mor_random_rifle	616.457031 1125.905151 -1279.154663	1.863 -5.615 83.821
info_alien_spawn	3086.744873 -465.679108 -983.474609	0.030 0.000 0.030
info_alien_spawn	3203.932617 -451.744781 -983.503967	-0.042 -0.000 0.042
info_alien_spawn	3190.142578 -555.244324 -983.463196	-0.025 -0.000 0.025
info_alien_spawn	3063.913330 -563.386475 -983.459534	-0.024 -0.000 0.024
info_alien_spawn	3059.446045 -915.196960 -983.512146	-0.045 -0.000 0.045
info_alien_spawn	3196.027344 -912.582581 -983.484192	-0.034 -0.000 0.034
info_alien_spawn	3196.384033 -785.816650 -983.496460	-0.039 -0.000 0.039
info_alien_spawn	3081.619141 -787.032532 -983.497925	0.039 0.000 0.039
info_alien_spawn	4220.214844 -2724.764648 -983.500916	-0.041 -0.000 0.041
info_alien_spawn	4217.486328 -2618.526367 -983.471313	-0.029 -0.000 0.029
info_alien_spawn	4122.901855 -2607.426758 -983.489441	0.036 0.000 0.036
info_alien_spawn	4137.320801 -2719.606934 -983.510437	-0.044 -0.000 0.044
info_alien_spawn	3738.772217 -2724.438721 -983.513855	-0.046 -0.000 0.046
info_alien_spawn	3867.885742 -2732.113281 -983.510437	-0.044 -0.000 0.044
info_alien_spawn	3735.068115 -2635.875732 -983.473511	0.030 0.000 0.030
info_alien_spawn	3867.862793 -2630.270020 -983.505554	-0.042 -0.000 0.042
info_alien_spawn	778.689758 -153.024887 -1063.434082	-0.033 -0.000 0.033
info_alien_spawn	932.632019 -117.312721 -1063.468994	-0.067 -0.000 0.067
info_alien_spawn	932.911011 -239.640411 -1063.454224	-0.053 -0.000 0.053
info_alien_spawn	784.690430 -237.914154 -1063.482666	-0.081 -0.000 0.081
info_alien_spawn	950.415771 -641.131348 -1063.468994	-0.067 -0.000 0.067
info_alien_spawn	785.121277 -637.057312 -1063.468994	-0.067 -0.000 0.067
info_alien_spawn	784.401184 -505.268188 -1063.440796	-0.040 -0.000 0.040
info_alien_spawn	932.031555 -521.009338 -1063.464966	-0.063 -0.000 0.063
info_alien_spawn	960.490601 -351.015442 -1063.448853	-0.048 -0.000 0.048
info_alien_spawn	794.960144 -378.823425 -1063.444580	-0.043 -0.000 0.044
info_alien_spawn	852.281311 -170.387817 -1063.462158	-0.061 -0.000 0.061
info_alien_spawn	881.821533 -305.486023 -1063.450317	-0.049 -0.000 0.049
info_alien_spawn	884.570251 -445.668030 -1063.468018	-0.066 -0.000 0.066
info_alien_spawn	865.396301 -643.669678 -1063.490479	-0.088 -0.000 0.088
info_alien_spawn	337.489868 1372.697876 32.540451	-0.024 -0.000 0.024
info_alien_spawn	479.521393 1380.988770 32.502071	-0.039 -0.000 0.039
info_alien_spawn	470.238708 1266.077148 32.487831	-0.045 -0.000 0.045
info_alien_spawn	344.791443 1264.809082 32.518280	-0.033 -0.000 0.033
info_alien_spawn	410.290283 1330.604492 32.515778	-0.034 -0.000 0.034
info_alien_spawn	487.251740 868.346375 32.531803	-0.027 -0.000 0.027
info_alien_spawn	484.894562 1006.200195 32.499073	-0.041 -0.000 0.041
info_alien_spawn	408.689301 929.626770 32.539547	-0.024 -0.000 0.024
info_alien_spawn	329.662140 864.463806 32.585026	-0.006 -0.000 0.006
info_alien_spawn	345.456482 1014.909729 32.517025	0.033 0.000 0.033
info_alien_spawn	-782.663147 307.159790 32.497536	-0.041 -0.000 0.041
info_alien_spawn	-769.722961 462.133728 32.543922	0.023 0.000 0.023
info_alien_spawn	-699.349304 382.423859 32.510540	-0.036 -0.000 0.036
info_alien_spawn	-637.912903 301.865082 32.513199	-0.035 -0.000 0.035
info_alien_spawn	-632.008911 434.521118 32.539547	-0.024 -0.000 0.024
info_alien_spawn	-277.593018 440.032410 32.532822	-0.027 -0.000 0.027
info_alien_spawn	-385.602509 442.196381 32.502052	0.039 0.000 0.039
info_alien_spawn	-346.137909 379.219025 32.547199	0.021 0.000 0.021
info_alien_spawn	-282.567780 312.106934 32.515778	-0.034 -0.000 0.034
info_alien_spawn	-420.186157 328.452820 32.517036	-0.033 -0.000 0.033
info_alien_spawn	-274.763824 -1464.281616 32.502071	-0.039 -0.000 0.039
info_alien_spawn	-414.329895 -1473.628052 32.502071	-0.039 -0.000 0.039
info_alien_spawn	-341.594666 -1530.119141 32.495979	-0.042 -0.000 0.042
info_alien_spawn	-260.881744 -1608.891113 32.527565	-0.029 -0.000 0.029
info_alien_spawn	-386.636353 -1595.833984 32.499073	-0.041 -0.000 0.041
info_alien_spawn	-768.271301 -1617.485474 32.510544	-0.036 -0.000 0.036
info_alien_spawn	-613.424316 -1609.402832 32.521893	-0.031 -0.000 0.031
info_alien_spawn	-687.459167 -1533.843872 32.506405	-0.038 -0.000 0.038
info_alien_spawn	-763.161621 -1454.458008 32.542217	-0.023 -0.000 0.023
info_alien_spawn	-633.380249 -1478.388672 32.536655	-0.025 -0.000 0.025
mor_random_weapon	546.249512 1358.152954 -1278.786865	1.726 4.926 -92.938
mor_random_weapon	-1735.264648 1492.608643 -1038.777710	1.623 4.921 -93.174
mor_random_weapon	-448.942657 1966.142212 -222.799133	1.865 4.929 -92.619
mor_random_weapon	1602.093750 -331.113922 -1246.769043	1.526 4.913 -93.397
mor_random_weapon	3564.726318 658.230408 -1254.798462	1.858 4.927 -92.637
mor_random_weapon	-58.318600 -2184.172119 -1278.794678	1.814 4.711 -92.736
mor_random_weapon	1126.225464 -1948.242676 -1278.783447	1.689 4.700 -93.025
mor_random_weapon	3770.846436 225.319595 -1181.858154	1.470 4.750 -93.526
mor_random_weapon	-513.131897 -2279.721436 -253.819061	1.707 5.183 -92.543
mor_random_weapon	-567.332947 -521.525574 -46.791168	1.776 4.614 -92.825
item_ammo_battery_mor	3760.540039 784.451660 -1225.629272	-0.011 -0.039 -0.212
item_ammo_battery_mor	3542.115234 538.495361 -1249.840820	0.007 -0.088 0.085
item_ammo_battery_mor	3573.771729 557.311157 -1249.850586	0.008 -0.088 0.102
item_ammo_battery_mor	3593.129150 -925.164368 -1273.959595	0.037 -0.087 0.300
item_ammo_battery_mor	3549.596680 -3.050482 -1249.893433	0.014 -0.088 0.176
item_ammo_battery_mor	3556.254883 103.572380 -1249.911865	0.016 -0.087 0.207
item_ammo_battery_mor	3574.467529 87.325554 -1249.881836	0.012 -0.088 0.156
item_ammo_battery_mor	499.870911 1357.930420 -1273.933838	0.019 -0.085 0.245
item_ammo_battery_mor	470.801453 1366.698853 -1273.887573	0.013 -0.088 0.165
item_ammo_battery_mor	-1416.588013 1426.788208 -1185.884644	0.020 -0.096 0.167
item_ammo_battery_mor	-2031.754883 1427.881592 -1185.917603	0.028 -0.094 0.225
item_ammo_battery_mor	-1897.862183 1430.630981 -617.848694	0.012 0.065 -0.154
item_ammo_battery_mor	1667.552856 -531.036682 -1176.981934	0.105 0.222 -0.523
item_ammo_battery_mor	-391.261444 -585.369263 -217.935898	0.019 -0.085 0.249
item_ammo_battery_mor	2652.448242 -593.392029 -1273.908447	0.026 -0.095 0.209
item_ammo_battery_mor	-737.723145 -2079.591553 -153.921448	0.029 -0.094 0.232
item_ammo_battery_mor	-832.621216 1321.565063 -153.853439	0.014 -0.096 0.111
item_ammo_battery_mor	1630.820190 -248.368988 -1241.962036	0.023 -0.081 0.293
item_ammo_battery_mor	1651.928589 -246.654984 -1241.885986	0.013 -0.088 0.163
item_ammo_battery_mor	544.952209 -1125.164917 -1273.911987	0.016 -0.087 0.207
item_ammo_battery_mor	82.420799 -2021.016602 -1273.838013	0.006 -0.088 0.080
item_ammo_battery_mor	-71.356720 -1481.389771 -1273.858398	0.015 -0.096 0.120
item_ammo_battery_mor	-96.875198 -2151.802979 -1273.917603	0.028 -0.094 0.225
item_ammo_battery_mor	-51.504452 1039.954834 -1273.911987	0.016 -0.087 0.207
item_ammo_battery_mor	807.546997 883.498474 -1273.895142	0.014 -0.088 0.178
item_ammo_battery_mor	2113.754639 1722.250122 -1273.879761	0.005 -0.089 -0.160
item_ammo_battery_mor	2087.374756 1697.861206 -1273.925537	0.029 -0.093 0.240
item_ammo_battery_mor	3290.484375 -1313.348755 -1273.821899	0.004 -0.088 0.052
item_ammo_battery_mor	3317.090332 -1319.195190 -1273.840210	0.006 -0.088 0.084
item_ammo_battery_mor	2774.133789 -3064.062744 -1273.938232	0.032 -0.093 0.262
item_ammo_battery_mor	-1892.384399 -2506.302979 -249.860626	0.001 -0.051 0.095
item_ammo_battery_mor	-1429.906128 -2512.263428 -249.866058	0.002 -0.051 0.102
item_ammo_battery_mor	-1430.288574 -2500.790771 -249.864929	0.002 -0.051 0.101
item_ammo_buckshot_mor	-996.051270 -571.920898 -255.564590	-0.649 -0.005 0.501
item_ammo_buckshot_mor	-415.153137 1283.640259 -255.532715	-0.356 -0.006 0.316
item_ammo_buckshot_mor	984.898315 1033.516113 -255.618652	-0.207 0.001 0.253
item_ammo_buckshot_mor	-41.248005 1735.613525 -255.545074	-0.454 -0.006 0.403
item_ammo_buckshot_mor	3867.978760 -1847.755493 -1279.566406	-0.651 -0.004 0.528
weapon_mor_beretta	874.512451 1349.676514 -1278.465942	87.615 -19.435 -49.380
weapon_mor_beretta	-529.463257 -3228.316162 -1278.461426	87.244 -13.057 -43.042
weapon_mor_mars	-611.686035 -1508.324463 -254.913956	-0.446 19.347 85.957
need_food	848.161438 1444.984009 -237.706619	0.206 -0.000 -0.103
need_food	848.196960 1286.602417 -237.710129	0.092 0.069 0.042
need_food	1198.357910 1455.984253 -237.713898	-0.000 -0.242 -0.009
need_food	1195.101807 1296.078369 -237.709229	-0.007 4.226 -0.000
need_food	1198.596924 1150.824219 -225.903549	-0.145 179.105 -179.999
need_food	1199.608276 1052.323853 -237.708710	0.005 -0.111 -0.000
need_food	826.844238 1366.648560 -237.706451	-0.001 93.629 0.000
need_food	1221.029053 1382.630371 -237.722458	-0.005 89.285 -0.016
need_food	1230.191284 1226.509521 -237.720032	-0.000 94.192 0.016
need_wash	2655.821289 572.367310 -1257.731567	0.056 -0.014 0.002
need_wash	2595.786377 662.426208 -1257.724365	-0.043 90.208 -0.000
need_wash	2595.251221 486.486481 -1257.779663	0.000 -91.288 -0.088
need_bed	-1805.776367 -2442.039551 -237.710007	0.098 -0.235 -0.053
need_bed	-1715.253540 -2434.096436 -237.706451	0.000 2.235 0.000
need_bed	-1614.585083 -2432.290039 -237.750763	0.002 0.120 0.024
need_bed	-1522.910522 -2432.782715 -237.706772	0.000 -0.317 0.000
need_bed	-1522.781250 -2114.849854 -237.734390	0.000 -0.116 -0.034
need_bed	-1615.415039 -2113.123291 -237.709579	0.010 -0.331 -0.009
need_bed	-1806.536255 -2109.203369 -237.743729	0.041 -0.073 -0.032
need_bed	-1714.765747 -2111.278320 -237.729065	-0.074 0.154 0.010
need_bed	-1485.362671 -2191.146729 -237.759628	0.128 99.273 -0.000
need_bed	-1850.033325 -2357.526855 -237.758835	-0.126 -93.536 0.000
need_bed	-1672.942261 -2358.786865 -237.721802	0.000 88.588 0.019
need_bed	-1499.628540 -2359.247314 -237.707550	0.000 92.112 0.001
need_bed	-1664.294556 -2184.637695 -237.765717	0.069 89.480 -0.101
need_bed	-1844.017334 -2191.546143 -237.718781	-0.030 81.806 0.000
weapon_glowstick	-2038.001587 1048.425781 -1184.999878	-0.456 0.861 -0.100
weapon_glowstick	-275.023834 -3092.877197 -1272.968750	-0.296 0.814 -0.059
weapon_glowstick	-204.803711 1829.140381 -249.011383	-0.481 0.789 -0.096
weapon_glowstick	-423.143311 1999.566528 -216.947998	0.436 -0.095 2.869
weapon_glowstick	-411.563538 2000.101440 -216.934448	0.327 -0.105 2.152
