# morbus weapon/ammo placement overrides - Thank TTT for this lua code
# For map: mor_facility_cv2
# Exported by: Demonkush
setting:	replacespawns 1
need_piss	0.000000 0.000000 0.000000	0.000 0.000 0.000
need_piss	0.000000 0.000000 0.000000	0.000 0.000 0.000
need_piss	3243.802246 -1984.069946 -1261.775635	-0.063 -0.148 -0.080
need_piss	3235.931885 -1853.995605 -1261.728394	0.183 0.012 0.065
need_piss	3235.927490 -1731.677979 -1261.724609	0.162 0.011 0.060
need_piss	3235.971924 -1592.803467 -1261.712646	0.090 0.034 0.038
need_piss	3235.958008 -1466.498291 -1261.713867	0.107 0.039 0.045
need_piss	3235.915527 -1349.086182 -1261.717529	0.174 -0.030 -0.074
mor_random_ammo	4327.877930 600.402527 -1255.650879	0.051 0.000 -0.014
mor_random_ammo	4318.009766 552.055054 -1255.685181	0.048 0.000 -0.036
mor_random_ammo	4310.351563 590.479309 -1255.677246	0.047 0.000 -0.033
mor_random_ammo	4313.016113 524.013855 -1255.612061	0.367 0.002 0.390
mor_random_ammo	4309.274414 459.859344 -1255.672119	0.047 -0.000 0.031
mor_random_ammo	4306.288086 437.209808 -1255.636475	0.072 0.000 0.019
mor_random_ammo	4323.161133 507.806000 -1255.605347	1.282 0.020 1.505
mor_random_ammo	4302.999512 477.172058 -1255.664673	0.047 0.000 -0.027
mor_random_ammo	4298.536621 557.797974 -1255.655396	0.049 -0.000 0.019
mor_random_ammo	3550.919678 117.223808 -1255.607056	0.826 -0.009 -0.951
mor_random_ammo	3548.763672 33.402805 -1255.576782	1.566 0.040 1.899
mor_random_ammo	3572.014893 31.111916 -1255.636475	0.071 0.000 0.018
mor_random_ammo	3540.314453 66.717369 -1255.610840	0.420 0.003 0.455
mor_random_ammo	3566.634277 197.091995 -1255.630859	0.090 0.000 0.044
mor_random_ammo	3850.678467 262.566315 -1279.657715	0.048 0.000 -0.022
mor_random_ammo	512.086121 1141.588013 -1223.623901	0.136 -0.000 -0.103
mor_random_ammo	535.468933 840.248108 -1231.627441	-0.100 0.000 -0.057
mor_random_ammo	521.376404 847.264038 -1231.631348	-0.084 -0.000 0.036
mor_random_ammo	747.264404 1152.483643 -1247.613037	-0.377 0.038 -0.823
mor_random_ammo	982.452515 1344.228394 -1260.134888	0.056 0.000 -0.003
mor_random_ammo	988.035522 1292.312134 -1260.170166	0.046 0.000 -0.034
mor_random_ammo	952.103943 1396.112793 -1260.100098	0.700 0.007 0.799
mor_random_ammo	862.850220 994.492676 -1231.637329	-0.068 -0.000 0.012
mor_random_ammo	684.987915 914.052979 -1231.547119	-1.510 -0.035 1.839
mor_random_ammo	291.967407 1324.924805 -1260.096313	0.152 0.094 -0.009
mor_random_ammo	337.900391 1386.014648 -1260.155884	0.045 0.000 -0.027
mor_random_ammo	382.742706 1401.354004 -1260.144897	0.048 0.000 -0.019
mor_random_ammo	2084.970459 -1535.864258 -1279.648804	0.053 0.000 -0.011
mor_random_ammo	2077.083252 -1489.704834 -1279.664795	0.047 0.000 -0.027
mor_random_ammo	2256.378662 -2789.768066 -1279.655518	0.049 0.000 -0.019
mor_random_ammo	1121.621826 -3064.220459 -1279.651001	0.051 0.000 -0.014
mor_random_ammo	4067.096924 -3041.097412 -1279.629150	0.099 -0.000 -0.055
mor_random_ammo	3549.514160 503.268402 -1255.620483	0.170 0.001 0.146
mor_random_ammo	3573.223877 530.131226 -1255.632690	0.083 0.000 0.035
mor_random_ammo	3857.034424 1842.410767 -1279.634644	0.077 0.000 0.026
mor_random_ammo	3856.107910 1811.095581 -1279.634644	0.077 0.000 0.026
mor_random_ammo	3857.333740 1542.428101 -1279.625610	0.122 0.000 0.086
mor_random_ammo	2614.416016 2273.036865 -1279.662476	0.047 0.000 -0.025
mor_random_ammo	2660.051758 2263.782715 -1279.620605	0.169 0.001 0.146
mor_random_ammo	2945.754639 2094.610107 -1279.627319	0.109 0.000 0.068
mor_random_ammo	2916.469238 2093.546875 -1279.630859	0.090 0.000 0.043
mor_random_ammo	1588.400269 -1631.162964 -1231.627441	-0.100 0.000 -0.057
mor_random_ammo	1598.119873 -1607.640503 -1231.584961	-1.299 -0.020 1.526
mor_random_ammo	1872.668213 -1399.585815 -1279.640503	0.063 0.000 0.006
mor_random_ammo	1857.765015 -1383.233398 -1279.664795	0.047 0.000 -0.027
mor_random_ammo	1628.090088 -202.565353 -1247.632690	0.083 -0.000 -0.035
mor_random_ammo	1603.225830 -175.210358 -1247.638428	0.067 0.000 0.012
mor_random_ammo	1482.809326 -172.276550 -1247.627197	0.111 0.000 0.070
mor_random_ammo	1459.820190 -197.159225 -1247.640503	0.063 -0.000 -0.006
mor_random_ammo	-25.553259 -658.400513 -255.613327	0.319 0.002 0.331
mor_random_ammo	-24.358740 -497.744171 -255.627243	0.110 0.000 0.070
mor_random_ammo	-20.567007 -585.287354 -255.623825	0.136 0.000 0.103
mor_random_ammo	-124.691078 1494.186401 -255.653168	0.050 0.000 -0.017
mor_random_ammo	-108.217674 1489.668823 -255.636490	0.072 0.000 0.018
mor_random_ammo	-120.132080 -2285.238037 -255.634583	0.077 -0.000 -0.026
