# morbus weapon/ammo placement overrides - Thank TTT for this lua code
# For map: mor_grem
# Exported by: Demonkush
setting:	replacespawns 1
need_piss	1742.019653 -94.991325 -287.126587	-0.092 3.683 19.204
need_piss	1843.691650 -91.147446 -280.896973	-0.137 0.550 27.698
need_piss	1941.159668 -93.364761 -286.873413	-0.099 -6.003 19.594
need_piss	2052.331055 -89.989517 -280.465515	0.001 0.062 27.912
need_piss	2157.965820 -89.418671 -280.290985	0.283 -1.128 28.047
need_piss	2259.535889 -101.097977 -288.175385	0.000 3.213 17.624
need_piss	2350.600342 -97.336426 -287.717010	0.056 -6.772 18.320
need_piss	2366.423096 94.302048 -286.828003	0.000 -7.935 -19.589
need_piss	2262.120605 92.925331 -286.693024	-0.073 -3.313 -19.834
need_piss	2157.782471 92.695160 -286.713074	0.008 -0.040 -19.820
need_piss	2057.045410 93.128319 -286.792908	-0.079 -3.860 -19.726
need_piss	1935.810791 93.225304 -286.901947	0.444 10.553 -19.374
need_piss	1849.692261 93.610252 -286.875336	-0.059 -3.844 -19.611
need_piss	1738.985962 96.166443 -287.316895	0.091 -3.095 -18.925
mor_random_ammo	-1576.236694 -1241.571899 -319.660034	0.047 0.000 -0.023
mor_random_ammo	-1582.950439 -1244.428833 -319.657715	0.048 0.000 -0.022
mor_random_ammo	-2152.692871 289.409790 -319.574158	1.523 0.036 1.848
mor_random_ammo	-2173.770020 292.300079 -319.653198	0.050 0.000 -0.017
mor_random_ammo	-1335.290771 -1692.751343 -319.648804	0.053 0.000 -0.011
mor_random_ammo	-1359.090698 -1692.109497 -319.672150	0.047 0.000 -0.031
mor_random_ammo	-1096.753174 -1935.344849 -319.638489	0.067 0.000 0.012
mor_random_ammo	-1123.744873 -1316.752808 -319.664764	0.047 0.000 -0.027
mor_random_ammo	-1120.878784 -1340.671631 -319.579010	1.614 0.037 1.958
mor_random_ammo	-603.655518 -950.822144 -319.673950	-0.047 -0.000 -0.032
mor_random_ammo	-581.006531 -951.360535 -319.637421	-0.067 -0.000 0.012
mor_random_ammo	603.683350 -1096.377563 -319.664032	-0.047 -0.000 -0.027
mor_random_ammo	1187.588379 -1208.068970 -319.657684	0.048 -0.000 0.022
mor_random_ammo	1165.633545 -1219.270142 -319.650970	0.051 -0.000 0.014
mor_random_ammo	1938.794189 817.440186 -319.640472	0.063 0.000 0.006
mor_random_ammo	1921.563232 856.045288 -319.664764	0.047 0.000 -0.027
mor_random_ammo	1595.138428 1244.558472 -319.638489	0.067 0.000 0.011
mor_random_ammo	1625.600464 1246.208618 -319.605286	1.073 0.014 1.251
mor_random_ammo	989.218140 1026.578369 -92.100464	-1.084 -0.011 1.062
mor_random_ammo	1021.876709 1023.594482 -92.060883	-1.305 -0.027 1.425
mor_random_ammo	1057.672852 1025.637817 -92.124870	0.479 0.001 0.302
mor_random_ammo	-824.179749 -1981.765869 -319.613342	0.320 0.002 0.332
mor_random_ammo	-911.262878 -2003.052734 -319.572693	1.427 -0.033 -1.728
mor_random_ammo	-830.585571 -1998.415894 -319.567444	1.293 0.032 1.561
mor_random_ammo	-827.299927 -1875.987183 -319.636536	0.071 -0.000 -0.018
mor_random_ammo	196.257416 -188.177780 -319.650970	0.051 -0.000 0.014
mor_random_ammo	183.178345 -204.690887 -319.558014	1.142 -0.029 -1.386
mor_random_ammo	-188.164047 -1579.533691 16.343063	-0.048 -0.000 -0.021
mor_random_ammo	-197.553772 -1564.285034 16.391733	-0.325 -0.002 0.338
mor_random_ammo	1224.327759 -833.527466 16.382484	0.218 0.001 0.206
mor_random_ammo	1209.013550 -854.973022 16.438448	1.145 -0.029 -1.382
mor_random_ammo	1234.609009 -869.503113 16.346828	0.050 0.000 -0.017
mor_random_ammo	1743.411499 -274.667419 16.451588	0.883 0.024 1.064
mor_random_ammo	1733.182251 -263.154236 16.390837	0.534 -0.004 -0.595
mor_random_ammo	2017.284912 46.656773 16.326052	-0.047 -0.000 -0.032
mor_random_ammo	1990.685791 49.149685 16.466358	-1.002 -0.026 1.218
mor_random_ammo	1968.910767 48.926819 16.345356	-0.049 -0.000 -0.019
mor_random_ammo	2508.527344 74.664040 16.325314	0.047 0.000 -0.032
mor_random_ammo	2497.322754 62.687683 16.346844	0.050 -0.000 0.017
mor_random_ammo	-836.167358 845.599243 16.386654	0.321 0.002 0.333
mor_random_ammo	-851.473267 810.000732 16.367310	0.084 0.000 0.035
mor_random_ammo	-874.659607 824.642334 16.357517	0.059 0.000 0.000
mor_random_ammo	-2491.399902 -5.296549 24.378326	-0.137 -0.000 0.104
mor_random_ammo	-2470.704590 0.892374 24.380238	-0.154 -0.001 0.126
mor_random_ammo	-2230.985596 -216.085037 16.355440	0.056 0.000 -0.004
mor_random_ammo	-2231.892578 -261.697662 16.372746	0.110 0.000 0.070
mor_random_ammo	-2263.571533 -248.140762 16.327845	0.046 0.000 -0.031
mor_random_ammo	1455.268677 -281.136475 -319.664764	0.047 0.000 -0.027
mor_random_ammo	1461.223145 -259.969543 -319.632690	0.083 0.000 0.034
mor_random_ammo	2508.689697 237.765198 -319.672150	0.047 0.000 -0.031
mor_random_ammo	2495.542725 233.792572 -319.674683	0.047 -0.000 0.032
mor_random_ammo	202.826172 1492.881836 16.427240	1.473 0.035 1.786
mor_random_ammo	172.372452 1468.315186 16.353346	0.054 0.000 -0.008
mor_random_ammo	186.301056 1596.165649 -319.607758	0.614 0.005 0.692
mor_random_ammo	203.128021 1571.886963 -319.655426	0.049 0.000 -0.019
mor_random_ammo	191.620743 1564.502930 -319.644562	0.057 0.000 -0.004
mor_random_ammo	-70.214149 944.063293 -319.610870	0.411 0.003 0.445
mor_random_ammo	-81.109932 955.061157 -319.540161	0.746 -0.022 -0.904
mor_random_ammo	-607.050659 1097.320068 -319.668915	-0.047 -0.000 -0.029
mor_random_ammo	-580.559143 1096.572754 -319.617889	-0.171 -0.001 0.148
mor_random_ammo	1439.699707 -610.966614 -303.672241	0.045 0.000 -0.030
mor_random_ammo	1444.776855 -596.855530 -303.638519	0.064 -0.000 -0.010
mor_random_ammo	1446.293579 -577.834351 -303.620575	0.162 0.001 0.138
mor_random_ammo	1417.823608 -608.517029 -303.606628	0.653 0.006 0.743
mor_random_ammo	1427.680542 -593.090820 -303.583008	1.450 0.032 1.732
mor_random_ammo	1428.406372 -584.447632 -303.657776	0.046 0.000 -0.021
mor_random_ammo	1398.217163 -607.676575 -303.646729	0.052 0.000 -0.008
mor_random_ammo	1404.766968 -601.263733 -303.636566	0.069 0.000 0.017
mor_random_ammo	1406.328857 -585.246399 -303.674774	0.045 0.000 -0.031
mor_random_ammo	1378.361938 -606.898499 -303.655457	0.047 -0.000 0.019
mor_random_ammo	1382.410767 -599.168213 -303.638519	0.064 0.000 0.011
mor_random_ammo	1384.552002 -590.351624 -303.614563	0.258 0.001 0.258
mor_random_ammo	-961.805969 1024.893555 -287.616028	0.244 0.001 0.238
mor_random_ammo	1022.857483 -965.335815 -287.642487	0.060 0.000 0.001
mor_random_ammo	1088.991821 -1026.549438 -287.664764	0.047 0.000 -0.027
mor_random_ammo	-2299.927734 1032.922729 32.452095	-1.482 -0.035 1.800
item_ammo_smg1_mor	-2519.344482 44.402866 -303.598267	0.171 -0.005 0.103
item_ammo_smg1_mor	-2500.002197 48.757801 -303.481171	-0.236 0.015 -0.207
item_ammo_smg1_mor	-2517.421875 3.137881 -303.520508	0.206 0.000 0.021
item_ammo_smg1_mor	-2497.359131 3.813998 -303.515503	-0.794 0.003 -0.642
item_ammo_smg1_mor	-1198.399292 -830.638306 -319.521881	-0.544 0.083 0.238
item_ammo_smg1_mor	-1169.613403 -837.642029 -319.524323	-0.560 0.069 0.257
item_ammo_smg1_mor	-1579.701294 -2003.200317 -319.605774	0.122 -0.005 0.070
item_ammo_smg1_mor	-1606.289551 -1997.922241 -319.485016	-0.279 0.014 -0.240
item_ammo_smg1_mor	957.496521 93.088013 -319.567413	0.852 -0.001 0.559
item_ammo_smg1_mor	869.460510 891.423889 -319.567413	0.852 -0.001 0.559
item_ammo_smg1_mor	-205.892532 122.345543 -319.573517	0.602 -0.003 0.392
item_ammo_smg1_mor	22.905930 -929.997681 16.432594	0.852 -0.001 0.559
item_ammo_smg1_mor	826.763550 -1213.827637 16.432594	-0.841 0.001 0.552
item_ammo_smg1_mor	1638.506104 40.070885 16.517748	-0.257 0.013 -0.216
item_ammo_smg1_mor	1619.607544 41.174133 16.501266	-0.828 0.012 -0.621
item_ammo_smg1_mor	999.223938 965.047058 16.501905	-0.800 0.012 -0.594
item_ammo_smg1_mor	1018.661316 947.879639 16.510401	-0.339 0.011 -0.284
item_ammo_smg1_mor	-1860.820557 -228.438583 16.415749	0.335 -0.005 0.213
item_ammo_smg1_mor	-1868.801636 -208.095078 16.415751	0.338 -0.005 0.215
item_ammo_smg1_mor	1793.779785 -286.725372 -319.488831	0.319 -0.012 -0.267
item_ammo_smg1_mor	1768.311401 -284.959900 -319.569427	-0.749 0.002 0.491
item_ammo_smg1_mor	1464.469971 277.510803 -319.501495	-0.852 0.012 -0.632
item_ammo_smg1_mor	1482.139526 280.510132 -319.608337	0.110 -0.005 0.061
item_ammo_smg1_mor	1793.505127 1398.514038 -319.522095	0.502 -0.001 0.217
item_ammo_smg1_mor	1764.170044 1408.410400 -319.584259	0.338 -0.005 0.215
mor_random_rifle	-2509.751709 -78.741196 -303.133820	2.093 -5.688 83.880
mor_random_rifle	-1645.727295 -11.296439 -319.137207	2.136 -5.697 83.914
mor_random_rifle	-961.209900 73.152016 -319.137878	2.145 -5.699 83.921
mor_random_rifle	-867.403076 -1168.671021 -319.134674	2.104 -1.721 83.888
mor_random_rifle	-1994.731567 -838.233154 -319.137878	2.145 -5.699 83.921
mor_random_rifle	834.015442 1600.097046 -319.134064	2.096 -5.688 83.883
mor_random_rifle	1986.717041 1602.559082 -319.138641	2.154 -5.702 83.928
mor_random_rifle	1052.924072 1006.013916 -91.643501	2.216 -5.538 83.977
mor_random_rifle	210.304703 306.828888 -293.813446	2.934 -5.278 -76.365
mor_random_rifle	-290.600616 251.805130 12.862926	2.135 -5.697 83.913
mor_random_rifle	29.559566 -1582.481201 -319.134613	2.103 -5.689 83.888
mor_random_rifle	2319.152588 -402.514221 16.859028	2.184 -5.785 83.951
mor_random_rifle	-1202.448486 1182.746338 16.864559	2.114 -5.690 83.896
mor_random_rifle	-2133.454590 234.166733 16.857973	2.197 -5.786 83.962
mor_random_rifle	2501.933838 -204.744049 -319.137543	2.140 -5.699 83.917
mor_random_rifle	-1417.822754 -1783.729126 -319.134735	2.105 -5.690 83.889
mor_random_rifle	-156.975281 1471.419678 16.862240	2.143 -5.700 83.919
info_alien_spawn	45.004650 163.802124 384.533569	-0.058 -0.000 0.058
info_alien_spawn	101.984344 115.340019 384.541107	-0.051 -0.000 0.051
info_alien_spawn	132.032990 64.821449 384.510193	-0.078 -0.000 0.078
info_alien_spawn	138.623505 -0.919614 384.510193	-0.078 -0.000 0.078
info_alien_spawn	133.745102 -63.555622 384.541107	-0.051 -0.000 0.051
info_alien_spawn	109.227203 -112.879303 384.529449	-0.061 -0.000 0.061
info_alien_spawn	50.364433 -154.528900 384.526184	-0.064 -0.000 0.064
info_alien_spawn	-29.299814 -154.344345 384.539307	-0.053 -0.000 0.053
info_alien_spawn	-83.319511 -134.315506 384.599792	-0.000 1.722 0.000
info_alien_spawn	-127.026703 -77.876930 384.510193	-0.078 -0.000 0.078
info_alien_spawn	-138.220718 -0.616929 384.551575	-0.042 -0.000 0.042
info_alien_spawn	-105.256310 59.225376 384.511536	-0.077 -0.000 0.077
info_alien_spawn	-69.149712 117.099129 384.507446	-0.080 -0.000 0.080
info_alien_spawn	-5.891909 144.045959 384.508820	-0.079 -0.000 0.079
info_alien_spawn	12.165374 86.204582 384.515442	-0.073 -0.000 0.073
info_alien_spawn	-34.579502 44.773266 384.532562	-0.059 -0.000 0.059
info_alien_spawn	-64.405396 1.552093 384.525055	-0.065 -0.000 0.065
info_alien_spawn	-51.047024 -47.649956 384.510193	-0.078 -0.000 0.078
info_alien_spawn	-19.346064 -98.757286 384.531525	-0.059 -0.000 0.059
info_alien_spawn	32.716465 -87.277809 384.540222	-0.052 -0.000 0.052
info_alien_spawn	79.172897 -63.895821 384.528351	-0.062 -0.000 0.062
info_alien_spawn	85.051712 -12.474356 384.557709	-0.037 -0.000 0.037
info_alien_spawn	70.628578 45.006897 384.581207	-0.016 -0.000 0.016
info_alien_spawn	15.457709 -17.852282 384.530487	-0.060 -0.000 0.060
mor_random_weapon	-1022.327087 -1024.639648 -382.799347	1.868 4.716 -92.614
mor_random_weapon	-1593.516235 -1205.757080 -318.786438	1.722 4.703 -92.947
mor_random_weapon	-2155.518799 272.413513 -318.806305	1.946 4.720 -92.435
mor_random_weapon	-1878.166382 -1876.186279 -318.791473	1.779 4.709 -92.817
mor_random_weapon	-1017.670349 -1773.843384 -942.794189	1.810 3.576 -92.746
mor_random_weapon	2466.398438 88.552139 17.210289	1.759 4.707 -92.863
mor_random_weapon	-2458.352295 -23.933971 25.240332	1.419 4.661 -93.641
mor_random_weapon	2480.931885 253.235275 -318.799347	1.868 4.716 -92.614
mor_random_weapon	1426.133423 -546.439819 -302.769287	1.517 5.723 -93.460
mor_random_weapon	1422.551147 -565.638855 -302.796265	1.805 5.714 -92.869
mor_random_weapon	-1030.396240 1284.240723 -510.795685	1.827 4.929 -92.708
item_ammo_buckshot_mor	66.485535 -938.055359 -319.578613	-0.762 -0.012 0.595
item_ammo_buckshot_mor	836.676331 1997.897217 -319.609406	-0.977 0.004 0.869
weapon_mor_beretta	-2078.223145 -270.592590 -298.464691	87.452 -15.989 -45.938
need_food	-2062.825928 -166.420334 66.251541	-0.028 -0.007 0.017
need_food	-2006.148315 -164.453857 66.188744	0.020 0.002 -0.007
need_food	-1944.619507 -163.693314 66.142227	0.029 0.004 -0.009
need_food	-1641.010254 -163.974136 66.199875	0.018 0.004 -0.006
need_food	-1701.229004 -169.982254 66.236832	-0.009 -0.002 0.006
need_food	-1760.077637 -162.938736 66.181129	0.022 0.007 -0.006
need_food	-1638.421509 172.222321 66.165787	-0.023 0.001 0.016
need_food	-1687.179810 171.649094 66.292130	0.002 -0.008 -0.001
need_food	-1746.842407 168.378647 66.203171	-0.010 -0.002 0.008
need_wash	2422.008301 361.591278 42.233986	-0.001 85.320 -0.072
need_wash	2198.422607 364.673676 42.293552	-0.000 101.394 0.000
need_wash	1974.635376 365.906647 42.250267	-0.102 94.298 -0.002
need_wash	1970.552124 -366.950348 42.293308	0.127 99.676 -0.063
need_wash	2194.941162 -365.862457 42.274059	-0.047 91.477 0.000
need_wash	2420.975342 -366.366028 42.266735	0.017 77.319 0.024
need_bed	-1820.144287 -46.459743 -285.732300	0.063 -87.322 0.000
need_bed	-1822.497192 -40.241623 -217.756195	0.127 -90.027 0.003
need_bed	-2013.985840 -40.885139 -285.790710	-0.168 -89.979 -0.012
need_bed	-2015.310547 -40.603573 -217.757706	0.124 -90.007 0.000
need_bed	-2004.993408 -279.723114 -285.774292	-0.168 -90.000 -0.002
need_bed	-2013.664307 -279.727539 -217.773010	-0.163 -90.003 0.001
need_bed	-2207.892090 -277.638458 -217.724060	-0.011 -88.331 0.026
need_bed	-2206.727295 -275.934479 -285.713776	0.057 93.472 -0.029
need_bed	-2197.553955 -34.601871 -211.782562	-89.991 -90.373 180.000
need_bed	-2195.495117 -45.067135 -285.819244	0.016 84.281 -0.018
need_bed	-2205.714600 42.864304 -285.753937	-0.114 -87.131 -0.004
need_bed	-2201.781738 43.801552 -217.774719	-0.008 -92.555 -0.039
need_bed	-2007.629883 279.604584 -217.765518	0.109 -89.726 0.004
need_bed	-2020.166260 278.065308 -285.756409	0.012 -90.955 0.066
need_bed	-2009.864014 47.469997 -211.811707	-89.956 -90.779 180.000
need_bed	-2001.822876 45.172394 -285.734100	0.084 -91.931 -0.003
need_bed	-1818.843628 41.940075 -217.706451	0.000 88.002 0.000
need_bed	-1805.947266 41.507759 -285.779724	0.138 91.233 0.019
weapon_glowstick	198.112335 -1461.701050 -313.057251	-0.717 0.766 -0.157
weapon_glowstick	-2506.027344 112.355423 -296.995453	-0.436 0.866 -0.096
weapon_glowstick	-2510.916016 119.871864 -297.067078	-0.762 0.730 -0.167
weapon_glowstick	-1992.516968 -2011.001953 -312.971649	-0.327 0.876 -0.072
weapon_glowstick	1223.223145 2014.209839 -313.021576	-0.555 0.832 -0.122
weapon_glowstick	1231.861572 2002.408447 -312.988495	-0.404 0.870 -0.089
weapon_glowstick	996.958557 1053.235962 -85.465889	-0.966 0.991 0.379
weapon_glowstick	-1037.246460 -1805.408081 -936.990784	-0.558 0.157 -0.918
weapon_glowstick	-222.267670 371.096924 18.966885	-0.607 0.816 -0.133
weapon_glowstick	-179.222534 456.239197 -393.184021	-56.995 36.032 -100.664
weapon_glowstick	-167.664673 448.275330 -391.734161	39.307 -87.729 92.059
weapon_glowstick	-185.683350 -1479.938843 22.983831	-0.530 0.845 -0.116
weapon_glowstick	1643.402588 -77.705994 23.060488	1.612 0.032 1.162
weapon_glowstick	-861.882813 1171.507324 22.940359	-0.728 0.768 -0.160
weapon_glowstick	-1444.658203 -242.325134 23.024677	0.207 -0.811 0.280
weapon_glowstick	-2480.819824 -132.372803 30.952003	-0.675 0.798 -0.148
weapon_glowstick	841.429138 -869.020813 -312.927704	1.154 0.021 0.831
weapon_glowstick	1612.392700 279.225403 -312.995453	-0.436 0.866 -0.096
weapon_glowstick	186.566132 1476.411743 -313.018433	0.335 -0.887 0.456
weapon_glowstick	1418.949097 -411.482086 -297.046295	-0.548 0.590 -0.130
weapon_glowstick	1433.500122 -426.944672 -296.997284	-0.364 0.647 -0.087
weapon_glowstick	-995.180908 1309.952637 -505.046509	0.403 -0.762 0.543
weapon_mor_zx9	-875.191040 -1773.712769 -308.985840	-2.811 -0.955 0.474
weapon_mor_zx9	866.617676 1762.913574 -308.875854	-2.689 -0.939 0.049
weapon_mor_zx9	-194.454163 411.164612 -387.731201	-5.139 1.376 -6.088
weapon_mor_zx9	-2481.640625 -132.508591 165.009872	-2.816 -0.794 0.490
weapon_mor_zx9	1272.680176 -592.427917 -298.947021	-2.738 -0.417 0.516
weapon_mor_zx9	1270.135010 -548.570740 -298.974670	-2.759 -0.426 0.686
weapon_mor_zx9	-1037.250000 1241.205811 -506.857788	-2.572 -1.111 0.600
weapon_mor_blaster	1340.928467 -572.627563 -303.029785	1.683 -19.228 -86.347
weapon_mor_blaster	1352.389771 -550.505371 -303.029541	1.873 -19.163 -86.016
weapon_mor_blaster	1327.375244 -542.348877 -303.029877	1.608 -19.248 -86.478
weapon_mor_scarm8	66.364510 -953.856873 -318.768616	0.423 9.320 84.423
weapon_mor_scarm8	838.880554 1974.375000 -318.797516	0.533 9.315 83.830
weapon_mor_scarm8	1257.738403 -492.862701 -302.779694	0.446 8.399 84.220
weapon_mor_scarm8	1261.651611 -518.344971 -302.772400	0.420 8.400 84.367
item_ammo_pistol_mor	-2084.917725 -289.554535 -299.664246	-0.142 -0.019 -0.043
item_ammo_pistol_mor	-1697.491821 -1414.061157 -319.625458	-0.108 -0.020 -0.033
item_ammo_pistol_mor	1249.502686 1126.880737 -319.654694	-0.134 -0.019 -0.040
item_ammo_pistol_mor	1248.547729 1154.683838 -319.664276	-0.142 -0.019 -0.043
item_ammo_pistol_mor	2066.890381 430.707581 16.391973	-0.093 -0.020 -0.028
item_ammo_pistol_mor	2091.951904 431.121674 16.370754	-0.112 -0.019 -0.034
item_ammo_pistol_mor	-992.382690 -927.155823 16.349880	-0.130 -0.019 -0.039
item_ammo_pistol_mor	1128.262939 -816.879150 -319.654694	-0.134 -0.019 -0.040
item_ammo_pistol_mor	1142.214966 -824.856262 -319.556213	-0.048 -0.020 -0.014
item_ammo_pistol_mor	71.905502 944.729126 -319.625458	-0.108 -0.020 -0.033
weapon_mor_medkit	-2507.099365 -111.292274 -303.524445	-0.990 -0.233 0.013
weapon_mor_medkit	-1889.935791 41.305843 -299.508484	-0.615 -0.285 0.063
weapon_mor_medkit	1956.813354 1911.217285 -319.520264	-0.891 -0.256 0.026
weapon_mor_medkit	1825.274292 872.704224 -223.513229	-0.726 -0.279 0.048
weapon_mor_medkit	-395.396912 113.885384 16.482677	-0.822 -0.269 0.036
weapon_mor_medkit	-156.894440 460.282715 -392.177826	-9.802 1.647 2.332
weapon_mor_medkit	2525.777832 -47.322975 16.481092	-0.860 -0.264 0.031
weapon_mor_medkit	-1674.795532 -149.143188 48.502872	-0.347 8.223 0.098
weapon_mor_medkit	1262.747925 -425.175446 -303.561554	-1.612 2.045 0.093
weapon_mor_medkit	-1053.514282 1319.148682 -511.531311	-1.063 0.602 0.060
mor_random_pistol	-2524.891113 75.407242 -303.156250	2.219 -18.440 -84.024
mor_random_pistol	-2515.679932 90.245621 -303.147003	2.223 -18.473 -84.119
mor_random_pistol	-2500.067383 63.263248 -303.140076	2.226 -18.489 -84.190
mor_random_pistol	-1705.006226 -1392.847046 -319.166260	2.215 -18.401 -83.922
mor_random_pistol	1204.053467 1223.151367 -319.145233	2.224 -18.471 -84.137
mor_random_pistol	1233.109619 1203.170898 -319.147003	2.223 -18.473 -84.119
mor_random_pistol	1193.505859 1170.307495 -319.128937	2.230 -18.490 -84.304
mor_random_pistol	1997.479736 843.249146 -319.138428	2.226 -18.490 -84.207
mor_random_pistol	1964.395264 893.997803 -319.076691	2.250 -18.499 -84.840
mor_random_pistol	1843.482300 870.789246 -223.130432	2.229 -18.490 -84.289
mor_random_pistol	-834.875061 -1948.846069 -319.133575	2.228 -18.488 -84.257
mor_random_pistol	-868.839111 -1984.876831 -319.108673	2.238 -18.492 -84.512
mor_random_pistol	-169.329498 -1568.250610 16.858240	2.225 -18.487 -84.173
mor_random_pistol	1183.770142 -827.701477 16.858238	2.225 -18.487 -84.173
mor_random_pistol	1196.409302 -874.356506 16.839842	2.218 -18.429 -83.984
mor_random_pistol	1750.570435 -254.357101 16.847540	2.221 -18.438 -84.063
mor_random_pistol	2076.340332 394.041962 16.970573	1.961 -18.760 -85.862
mor_random_pistol	-862.426453 864.529602 16.818426	2.209 -18.343 -83.764
mor_random_pistol	-887.881165 847.503296 16.883785	2.235 -18.491 -84.435
mor_random_pistol	-2231.740723 -189.926300 16.970514	1.906 -18.795 -85.959
mor_random_pistol	-2267.506836 -218.490417 16.970707	2.079 -18.698 -85.658
mor_random_pistol	-1011.540222 -957.891235 16.831665	2.215 -18.398 -83.900
mor_random_pistol	1100.734009 -814.251648 -319.127441	2.230 -18.491 -84.320
mor_random_pistol	989.431580 417.218964 -351.133545	2.228 -18.488 -84.257
mor_random_pistol	1478.009644 -280.644043 -319.133575	2.228 -18.488 -84.257
mor_random_pistol	163.682129 1582.492432 -319.162170	2.217 -18.398 -83.963
mor_random_pistol	172.796066 1560.899292 -319.147003	2.223 -18.473 -84.119
mor_random_pistol	80.730843 958.744995 -319.140076	2.226 -18.489 -84.190
mor_random_pistol	598.478882 951.156494 -319.179291	2.210 -18.356 -83.788
mor_random_pistol	571.665833 941.902222 -319.183746	3.545 -16.683 -83.181
mor_random_smg	-2516.348877 18.601845 -303.000763	0.348 3.903 -86.784
mor_random_smg	-2514.526123 -24.073696 -302.906799	0.319 6.183 -87.289
mor_random_smg	-1197.795166 -869.724792 -318.905426	0.271 6.177 -87.229
mor_random_smg	-1591.273438 -1970.909180 -318.905487	0.273 6.177 -87.232
mor_random_smg	947.826721 63.676388 -318.905151	0.261 6.171 -87.217
mor_random_smg	875.351746 866.008972 -318.905548	0.275 6.177 -87.234
mor_random_smg	1584.327881 822.630249 -318.906006	0.292 6.175 -87.255
mor_random_smg	1043.250732 1045.902222 -91.407509	0.345 0.367 -87.321
mor_random_smg	-228.607330 91.043259 -318.906250	0.300 6.174 -87.265
mor_random_smg	-21.592167 -940.089294 17.093657	0.304 6.174 -87.270
mor_random_smg	860.851074 -1199.776978 17.095364	0.243 6.159 -87.195
mor_random_smg	1623.370728 73.349670 17.093033	0.326 6.192 -87.297
mor_random_smg	964.059570 982.432678 17.094385	0.278 6.176 -87.238
mor_random_smg	-1829.313110 -220.869431 17.094303	0.281 6.549 -87.241
mor_random_smg	1789.362915 -270.097534 -318.928711	0.065 6.247 -87.134
mor_random_smg	1472.028320 244.370514 -318.906158	0.297 6.174 -87.261
mor_random_smg	1796.826050 1419.529297 -318.892548	0.112 6.503 -87.512
item_ammo_revolver_mor	-2526.222412 -59.068752 -303.652405	-0.132 -0.019 -0.040
item_ammo_revolver_mor	-2513.368164 -59.790764 -303.601776	-0.088 -0.020 -0.027
item_ammo_revolver_mor	-2521.580322 -35.675995 -303.608032	-0.093 -0.020 -0.028
item_ammo_revolver_mor	-2505.447754 -36.226067 -303.564178	-0.055 -0.020 -0.017
item_ammo_revolver_mor	-1661.701172 6.496403 -319.623596	-0.107 -0.020 -0.032
item_ammo_revolver_mor	-1650.659302 5.524736 -319.619965	-0.104 -0.020 -0.031
item_ammo_revolver_mor	-940.487244 69.793709 -319.664276	-0.142 -0.019 -0.043
item_ammo_revolver_mor	-951.658386 82.581055 -319.552216	-0.044 -0.020 -0.013
item_ammo_revolver_mor	-868.978699 -1198.920044 -319.553772	-0.046 -0.020 -0.014
item_ammo_revolver_mor	-886.691833 -1198.266968 -319.629272	-0.112 -0.020 -0.034
