# morbus weapon/ammo placement overrides - Thank TTT for this lua code
# For map: mor_halcyon
# Exported by: Demonkush
setting:	replacespawns 0
weapon_mor_ump	-1494.676880 305.448242 80.775078	-0.551 -18.476 88.804
weapon_mor_ump	1567.091431 424.500793 -31.233068	-0.532 -18.461 88.768
weapon_mor_ka47	1831.498169 375.784332 -30.532869	-0.693 -23.490 -84.720
weapon_mor_sc7	1822.234131 403.524323 -30.707281	0.356 -4.823 87.113
weapon_mor_sc7	978.024048 -1532.899780 -30.706062	0.345 -4.823 87.132
need_piss	-28.161566 -2892.273193 226.245697	0.178 -0.009 -0.067
need_piss	-19.861811 -2765.943604 226.144928	-0.012 0.001 0.011
need_piss	-19.069107 -2637.082275 226.194717	-0.064 0.001 0.035
need_piss	-15.779545 -2509.766113 226.182022	-0.040 0.001 0.023
need_piss	-24.441511 -2373.858887 226.190140	-0.053 0.001 0.030
mor_random_ammo	-1173.149048 160.518661 80.372566	-0.101 -0.000 0.058
mor_random_ammo	-1197.334229 158.917648 80.370613	-0.092 -0.000 0.046
mor_random_ammo	-1222.414795 161.044800 80.374496	-0.111 -0.000 0.071
mor_random_ammo	2098.842529 268.559845 -31.622171	0.152 0.001 0.123
mor_random_ammo	2083.589600 247.283005 -31.669640	0.047 0.000 -0.029
mor_random_ammo	2085.932373 308.217682 -31.607069	0.723 0.007 0.826
mor_random_ammo	2093.213379 346.549011 -31.660007	0.047 0.000 -0.023
mor_random_ammo	2097.661865 428.382721 -31.623827	0.137 0.000 0.104
mor_random_ammo	2077.427979 419.345520 -31.610914	0.420 0.003 0.455
mor_random_ammo	2087.882568 385.240814 -31.682543	0.047 0.000 -0.035
mor_random_ammo	1370.697998 73.903069 -31.655413	0.049 0.000 -0.019
mor_random_ammo	1365.399170 91.649277 -31.673944	-0.047 -0.000 -0.032
mor_random_ammo	1386.260620 109.013145 -31.623577	-0.124 -0.000 0.088
mor_random_ammo	1394.059937 98.018105 -31.642483	0.060 -0.000 -0.001
mor_random_ammo	2077.979980 2.589253 -31.551596	-1.569 -0.040 1.904
mor_random_ammo	1922.307495 -0.805498 -31.679140	-0.047 -0.000 -0.034
mor_random_ammo	1878.804810 4.925035 -31.641541	-0.060 -0.000 0.001
mor_random_ammo	1902.901978 19.101244 -31.619759	-0.154 -0.001 0.126
mor_random_ammo	1840.462524 13.615272 -31.666441	-0.047 -0.000 -0.028
mor_random_ammo	1731.997925 -2.141616 -31.652384	-0.050 -0.000 -0.017
mor_random_ammo	1684.774414 -7.043922 -31.654642	-0.049 -0.000 -0.019
mor_random_ammo	1710.056152 13.262455 -31.615988	-0.192 -0.001 0.174
mor_random_ammo	1665.097168 13.968221 -31.600201	-0.543 -0.004 0.605
mor_random_ammo	1539.385986 -11.008902 -31.544884	-1.326 -0.033 1.608
mor_random_ammo	1468.478638 -0.929333 -31.647959	-0.053 -0.000 -0.011
mor_random_ammo	1515.028809 9.729816 -31.545485	-1.443 -0.034 1.756
mor_random_ammo	1461.674561 13.569851 -31.633354	-0.077 -0.000 0.026
mor_random_ammo	1551.211060 15.341545 -31.637396	-0.068 -0.000 0.012
mor_random_ammo	1944.034302 10.427231 -31.633348	-0.078 -0.000 0.027
mor_random_ammo	1396.404907 63.447052 -31.653170	0.050 0.000 -0.017
mor_random_ammo	844.748901 1684.820068 -43.677261	0.047 0.000 -0.033
mor_random_ammo	819.587463 1686.040283 -43.629017	0.099 0.000 0.056
mor_random_ammo	408.386597 1728.725220 -31.605442	1.096 0.015 1.280
mor_random_ammo	430.325623 1749.052612 -31.650021	-0.400 -0.220 0.535
mor_random_ammo	415.285950 1662.694336 -31.572184	1.422 0.033 1.720
mor_random_ammo	418.144379 1611.995361 -31.669638	0.047 0.000 -0.029
mor_random_ammo	451.092072 1741.260742 -31.555698	1.127 0.029 1.369
mor_random_ammo	528.028442 1822.260620 -31.619768	-0.153 -0.001 0.125
mor_random_ammo	417.967224 1965.047363 -31.620567	0.170 0.001 0.147
