# morbus weapon/ammo placement overrides - Thank TTT for this lua code
# For map: mor_horizon_v11_re
# Exported by: Demonkush ( ͡° ͜ʖ ͡°)
setting:	replacespawns 1
weapon_mor_ump	3161.036865 -291.080414 -127.236626	-0.523 -18.454 88.752
weapon_mor_ka47	-1870.298218 -2071.354736 -702.532166	-0.695 -23.000 -84.731
weapon_mor_sc7	-2341.996094 949.369446 -482.687439	0.173 -4.833 87.418
need_piss	5121.532227 331.308990 -505.371979	0.060 -1.377 28.284
need_piss	5036.383301 331.143524 -505.407745	-0.038 -1.296 28.207
need_piss	4949.741211 331.044922 -505.187408	-0.074 -1.795 28.650
need_piss	4862.218262 329.233551 -505.697876	-0.056 -2.037 27.832
need_piss	5120.013672 -2.058837 -506.221161	0.154 -1.418 -26.911
need_piss	5035.482422 -5.583277 -505.338226	-0.139 2.446 -28.398
need_piss	4951.485352 -6.125157 -505.463287	-0.175 1.824 -28.209
need_piss	4866.605469 -3.475349 -506.108582	0.050 -1.861 -27.027
mor_random_ammo	-807.113342 -3397.045410 -383.646667	0.055 0.000 -0.008
mor_random_ammo	-860.013245 -3395.749023 -383.655426	0.049 0.000 -0.019
mor_random_ammo	-835.168762 -3394.515625 -383.608826	0.552 0.004 0.617
mor_random_ammo	-809.995850 -3411.695557 -383.568848	1.387 0.032 1.681
mor_random_ammo	-937.796692 -3398.235107 -383.619019	0.191 0.001 0.173
mor_random_ammo	-909.271912 -3391.547119 -383.559570	1.216 0.030 1.477
mor_random_ammo	-890.793396 -3420.743896 -383.644562	0.057 0.000 -0.003
mor_random_ammo	-856.999878 -3414.098633 -383.653168	0.050 0.000 -0.017
mor_random_ammo	2627.343750 214.764008 64.385345	0.279 0.001 0.282
mor_random_ammo	2643.467773 209.698364 64.327858	0.047 0.000 -0.031
mor_random_ammo	181.701401 748.609558 64.338387	-0.047 -0.000 -0.025
mor_random_ammo	77.372368 707.208252 64.347618	-0.050 -0.000 -0.017
mor_random_ammo	17.986147 766.847839 64.406853	-0.851 -0.009 0.981
mor_random_ammo	103.472626 735.694092 64.406647	-0.826 -0.009 0.952
mor_random_ammo	4521.977539 -168.578720 -679.640442	0.063 -0.000 -0.006
mor_random_ammo	4519.370605 489.573364 -679.557922	1.115 0.028 1.348
mor_random_ammo	2093.833008 170.161133 -63.673958	-0.047 -0.000 -0.032
mor_random_ammo	2100.493408 158.691757 -63.661629	-0.047 -0.000 -0.025
mor_random_ammo	2107.240479 172.372269 -63.531166	-0.914 -0.025 1.112
mor_random_ammo	2098.410400 184.506302 -63.661629	-0.047 -0.000 -0.025
mor_random_ammo	-493.261749 -780.563416 64.359550	0.063 0.000 0.006
mor_random_ammo	-1063.700806 -782.041260 64.451965	0.954 0.026 1.158
mor_random_ammo	-1775.663330 -243.859924 -351.613281	0.314 0.002 0.325
mor_random_ammo	-1750.284790 -242.465668 -351.669617	0.047 0.000 -0.029
mor_random_ammo	-1772.880859 -220.273254 -351.640442	0.063 0.000 0.006
mor_random_ammo	-1751.300293 -222.255417 -351.640442	0.063 0.000 0.006
mor_random_ammo	-1778.777710 -201.752975 -351.608429	0.627 -0.005 -0.708
mor_random_ammo	-1753.522217 -202.012833 -351.642487	0.060 0.000 0.001
mor_random_ammo	-1768.945679 -326.775299 -351.682526	0.047 0.000 -0.035
mor_random_ammo	-1751.771606 -320.807678 -351.650940	0.051 0.000 -0.014
mor_random_ammo	-1781.700928 -371.652130 -351.620575	0.172 0.001 0.149
mor_random_ammo	-1758.544922 -367.105316 -351.628998	0.099 0.000 0.056
mor_random_ammo	-1786.742798 -419.630890 -351.575317	1.574 0.041 1.913
mor_random_ammo	-1759.562012 -414.804901 -351.616028	0.244 0.001 0.239
mor_random_ammo	-1469.495728 -49.559456 -383.627289	0.109 -0.000 -0.069
mor_random_ammo	-1450.409668 -65.681595 -383.636536	0.072 -0.000 -0.019
mor_random_ammo	-1418.503662 -847.474670 -383.575836	0.782 0.009 1.241
weapon_mor_r22	3145.928467 450.597382 65.564735	-1.283 -2.264 87.570
weapon_mor_r22	-307.810913 -2824.874512 -702.428406	-1.316 -1.039 87.199
weapon_mor_vek	-1416.549683 -509.201416 33.117847	0.270 -3.095 88.819
item_ammo_smg1_mor	-996.568420 -3401.634277 -383.472168	-0.187 0.017 -0.164
item_ammo_smg1_mor	-975.250671 -3401.076416 -383.495544	-0.661 0.012 -0.506
item_ammo_smg1_mor	-1296.723877 -2499.110596 -383.575592	0.530 -0.004 0.344
item_ammo_smg1_mor	-246.147766 -1875.985718 -703.582031	-0.379 0.005 0.243
item_ammo_smg1_mor	461.074951 -2559.460938 -703.577698	0.473 -0.004 0.306
item_ammo_smg1_mor	28.709942 -334.450684 64.511177	0.320 -0.012 -0.267
item_ammo_smg1_mor	328.891174 770.338867 64.498383	-0.866 -0.013 -0.649
item_ammo_smg1_mor	519.784241 172.687912 104.475418	0.562 -0.014 0.253
item_ammo_smg1_mor	3810.088379 372.022827 -127.456566	0.101 -0.016 -0.086
item_ammo_smg1_mor	-1862.821777 -265.161530 -39.483334	-0.250 0.012 -0.211
item_ammo_smg1_mor	-2079.740479 -241.750519 -39.600716	-0.152 0.005 0.090
item_ammo_smg1_mor	-841.886230 921.133606 -367.595795	0.191 -0.005 0.117
item_ammo_smg1_mor	-2751.395508 -733.106689 -767.530090	-0.432 0.011 -0.343
item_ammo_smg1_mor	3867.090820 481.763733 -831.603210	-0.136 0.005 0.079
item_ammo_smg1_mor	2822.569336 -71.194298 -831.517944	0.082 0.002 -0.173
item_ammo_smg1_mor	3215.229980 657.156677 -831.493469	0.481 -0.011 -0.376
item_ammo_smg1_mor	3183.799072 -373.907379 -127.512840	-0.743 0.160 -0.247
item_ammo_smg1_mor	3160.031494 -373.994415 -127.540924	-0.268 -0.179 -0.202
item_ammo_smg1_mor	3145.668945 488.084106 64.428841	0.574 -0.003 0.376
item_ammo_smg1_mor	-584.132080 -7.722411 -439.523254	0.553 -0.014 0.243
item_ammo_smg1_mor	-297.153992 -2845.763672 -703.571411	0.675 -0.003 0.441
item_ammo_smg1_mor	-316.277924 -2848.037598 -703.582031	0.375 -0.005 0.240
item_ammo_smg1_mor	-327.896088 -371.201385 -147.502182	-0.849 0.013 -0.630
item_ammo_smg1_mor	-1404.991089 -489.999756 32.451923	-0.352 -0.198 0.466
item_ammo_smg1_mor	-466.305450 1315.578735 -27.573492	0.595 -0.003 0.387
item_ammo_smg1_mor	-1650.433228 755.813293 -483.584259	0.338 -0.005 0.215
mor_random_rifle	50.124626 -423.252197 -147.140320	2.176 -5.784 83.945
mor_random_rifle	643.591980 -352.743011 64.861084	2.158 -5.706 83.931
mor_random_rifle	-344.154877 730.918701 64.862587	2.139 -5.697 83.916
mor_random_rifle	-798.583313 1199.839966 16.865623	2.101 -5.689 83.886
mor_random_rifle	-1541.928101 1332.096436 -27.138643	2.154 -5.702 83.928
mor_random_rifle	-1672.290283 37.544853 -383.137543	2.140 -5.699 83.917
mor_random_rifle	-2484.089355 -425.963440 -767.136047	2.122 -5.693 83.903
mor_random_rifle	-2224.984619 -202.199005 -767.139221	2.161 -5.706 83.933
mor_random_rifle	-3455.831299 -97.171623 -767.173950	2.133 -5.697 83.912
mor_random_rifle	-2631.314453 -948.612976 -403.175751	2.156 -5.706 83.929
mor_random_rifle	-1878.914185 -3090.686768 -383.133636	2.091 -5.687 83.878
mor_random_rifle	-1100.859985 -3409.966553 -383.137634	2.142 -5.699 83.918
mor_random_rifle	1564.379395 176.420151 64.863037	2.133 -5.697 83.912
mor_random_rifle	4030.502441 -175.207138 -127.134956	2.108 -5.690 83.892
mor_random_rifle	3857.805664 14.393119 -127.138252	2.150 -5.702 83.924
mor_random_rifle	731.877380 172.823227 64.861084	2.158 -5.706 83.931
mor_random_rifle	-1522.062988 -65.942322 -39.136063	2.122 -5.693 83.903
mor_random_rifle	-1536.401001 153.261856 -39.134663	2.104 -5.689 83.889
mor_random_rifle	-2109.992920 -681.901489 -63.135441	2.114 -5.690 83.896
mor_random_rifle	-1576.698975 972.794800 16.865690	2.100 -5.688 83.885
mor_random_rifle	-1155.770264 1540.925903 -23.137297	2.137 -5.697 83.915
mor_random_rifle	-854.799255 2096.534180 -63.136650	2.129 -5.695 83.908
mor_random_rifle	-1202.104736 935.366943 -367.136444	2.127 -5.695 83.906
mor_random_rifle	-2757.613281 -272.013885 -767.175720	2.131 -4.284 83.895
mor_random_rifle	-1831.347534 58.231537 -767.137390	2.139 -5.697 83.916
mor_random_rifle	-441.994843 156.841324 -703.135010	2.109 -5.689 83.892
mor_random_rifle	-958.990173 -1809.302490 -639.138794	2.156 -5.706 83.929
mor_random_rifle	-2404.784424 -1783.994019 -703.138367	2.151 -5.703 83.926
mor_random_rifle	-1743.761597 -291.309570 -767.134888	2.069 -5.685 84.162
mor_random_rifle	3886.336426 -150.218521 -831.136841	2.132 -5.695 83.911
mor_random_rifle	2835.858643 409.084106 -831.132813	2.081 -5.686 83.871
mor_random_rifle	3210.915283 -346.956696 -831.135742	2.118 -5.692 83.900
mor_random_rifle	-451.541107 139.423157 -439.136658	2.129 -5.695 83.908
mor_random_rifle	-528.241760 -198.491623 -439.133972	2.096 -5.688 83.882
mor_random_rifle	-242.369476 906.145996 -223.136917	2.133 -5.782 83.911
mor_random_rifle	-1511.020264 -622.461792 32.864807	2.111 -5.691 83.894
mor_random_rifle	-716.323059 379.579010 40.861359	2.154 -5.702 83.928
mor_random_rifle	4577.436035 163.929199 -127.138779	2.156 -5.706 83.929
mor_random_rifle	-1004.947937 1700.968628 -63.137074	2.135 -5.697 83.913
mor_random_rifle	-1316.909912 -260.400940 -383.139069	2.160 -5.706 83.932
mor_random_rifle	-1763.914795 -461.191620 -351.135193	2.111 -5.691 83.894
mor_random_rifle	311.995880 181.636734 -703.136230	2.124 -5.693 83.904
info_alien_spawn	2674.201172 83.864738 576.551453	-0.146 -0.079 -0.137
info_alien_spawn	2677.212646 236.047226 576.550598	0.104 -0.041 0.260
info_alien_spawn	364.962280 336.227448 640.547302	-0.197 0.136 -0.030
info_alien_spawn	399.955231 218.059006 640.543335	-0.055 -0.000 0.055
info_alien_spawn	407.130890 105.788300 640.539795	-0.059 -0.000 0.059
info_alien_spawn	359.238861 -1.114033 640.558777	-0.154 0.082 -0.024
info_alien_spawn	218.718079 -27.388950 640.532043	0.066 0.000 0.066
