# morbus weapon/ammo placement overrides - Thank TTT for this lua code
# For map: mor_installation_gt1_re
# Exported by: Demonkush ( ͡° ͜ʖ ͡°)
setting:	replacespawns 1
weapon_mor_ump	1300.195313 1060.152466 32.769150	-0.537 -18.466 88.778
weapon_mor_ump	-993.263245 -1133.081055 216.667831	-0.265 -18.681 88.343
weapon_mor_ump	-465.304901 -2378.877686 344.760101	-0.515 -18.449 88.737
weapon_mor_ump	-2244.676270 -943.517212 192.771271	-0.542 -18.466 88.787
weapon_mor_ump	2187.612305 1073.704834 0.765766	-0.529 -18.455 88.763
weapon_mor_ump	1329.150879 2562.479980 192.765244	-0.527 -18.455 88.760
weapon_mor_ump	791.250671 2692.884766 192.776825	-0.555 -18.481 88.812
weapon_mor_ump	1530.621094 -549.158691 752.778015	-0.558 -18.481 88.817
weapon_mor_ka47	-1474.855225 2225.574951 1.463871	-0.686 -23.000 -84.670
weapon_mor_ka47	-2144.147217 -208.667953 321.471344	-0.702 -22.999 -84.785
weapon_mor_ka47	819.486450 -840.766663 25.452749	-0.815 -23.754 -84.659
weapon_mor_ka47	1584.513428 482.929474 1.461700	-0.682 -23.000 -84.637
weapon_mor_ka47	2414.581055 4366.674316 193.477249	-0.715 -22.999 -84.877
weapon_mor_ka47	-2721.528809 303.130493 321.479950	-0.721 -22.998 -84.918
weapon_mor_ka47	-48.428936 -1554.577271 321.469208	-0.698 -22.999 -84.753
weapon_mor_ka47	-3390.486816 2216.430420 1.456276	-0.670 -23.000 -84.553
weapon_mor_ka47	1557.804565 -448.658600 321.465942	-0.691 -23.000 -84.702
weapon_mor_sc7	-1043.581665 1319.866333 1.308777	0.208 -4.824 87.360
weapon_mor_sc7	1296.257324 1098.909180 33.288158	0.398 -4.824 87.043
weapon_mor_sc7	1810.913696 3326.641113 209.297913	0.308 -4.825 87.193
weapon_mor_sc7	1170.315308 3977.878906 193.295120	0.334 -4.825 87.150
weapon_mor_sc7	-2799.395996 1840.225708 225.298981	0.298 -4.823 87.209
weapon_mor_sc7	-2021.717041 -1767.583740 321.302490	0.266 -4.823 87.263
weapon_mor_sc7	-1254.554932 -2146.147949 345.300049	0.289 -4.823 87.226
weapon_mor_sc7	726.268066 70.565201 385.301514	0.275 -4.823 87.248
weapon_mor_sc7	-2147.086426 98.733742 1.304726	0.246 -4.824 87.297
weapon_mor_sc7	2317.668701 -548.765198 1.321203	0.094 -4.853 87.550
weapon_mor_sc7	-595.596313 -824.317566 353.295105	0.334 -4.824 87.150
weapon_mor_sc7	1417.136230 -987.849731 769.318542	0.118 -4.844 87.509
weapon_mor_sc7	2070.824463 1745.689209 321.296295	0.323 -4.823 87.168
mor_random_ammo	-3038.375732 2295.566895 224.363495	0.072 -0.000 -0.019
mor_random_ammo	-3018.155518 2341.658936 224.340012	0.047 -0.000 0.023
mor_random_ammo	-3039.550781 2384.707275 224.381012	0.190 0.001 0.171
mor_random_ammo	-3021.342285 2420.330811 224.443726	1.124 0.029 1.363
mor_random_ammo	-3042.123779 2463.980713 224.338379	-0.047 -0.000 -0.025
mor_random_ammo	1883.208862 -166.606537 752.365417	0.077 0.000 0.026
mor_random_ammo	1856.271973 -168.761673 752.380981	0.194 0.001 0.176
mor_random_ammo	1883.891602 -192.506958 752.376160	0.134 0.000 0.101
mor_random_ammo	1016.127075 2474.198242 224.378326	-0.137 -0.000 0.105
mor_random_ammo	983.945251 2959.574463 224.468826	-0.824 -0.024 0.996
mor_random_ammo	2011.910156 2942.581055 224.393723	-0.372 -0.002 0.396
mor_random_ammo	2054.355713 2477.241455 224.387863	-0.251 -0.001 0.247
mor_random_ammo	1544.902100 2480.210938 224.347626	-0.050 -0.000 -0.017
mor_random_ammo	1078.714722 2428.913086 224.443192	1.121 0.028 1.359
mor_random_ammo	1227.988892 2419.702881 96.335251	0.047 0.000 -0.027
mor_random_ammo	466.090179 2959.534668 224.335999	-0.047 -0.000 -0.027
mor_random_ammo	549.372314 3426.510254 224.367294	0.083 -0.000 -0.034
weapon_mor_r22	-3014.061035 2149.826172 225.534943	-1.347 -1.024 86.478
weapon_mor_r22	-118.562828 -1410.742554 193.708328	1.209 -0.945 77.035
weapon_mor_r22	-1808.889404 -1941.426392 193.627014	-1.372 -0.712 89.086
weapon_mor_r22	-3836.865479 -1263.825928 -14.441564	-1.327 -1.033 86.940
weapon_mor_r22	-402.901917 -871.767273 353.578644	-1.309 -1.356 87.341
weapon_mor_r22	-1847.200806 403.420319 1.579807	-1.309 -1.042 87.361
weapon_mor_r22	752.060852 -435.710571 753.607788	-1.813 -0.665 86.880
weapon_mor_vek	824.472351 806.280273 33.108692	0.404 -3.092 88.686
weapon_mor_vek	-1830.971802 -193.134827 1.096926	0.575 -3.087 88.516
weapon_mor_vek	500.363678 -1352.960571 1.089623	0.691 -3.085 88.408
weapon_mor_vek	-1854.118408 -695.628540 193.093262	0.629 -3.086 88.463
weapon_mor_vek	-700.386719 -871.406799 353.116486	0.290 -3.094 88.799
weapon_mor_vek	1676.342529 -225.138367 673.110229	0.381 -3.093 88.709
weapon_mor_uzi	-1731.519653 3772.260498 26.037560	0.000 0.000 0.000
weapon_mor_uzi	-1531.427002 1385.813599 2.037560	0.000 0.000 0.000
weapon_mor_uzi	634.751404 801.726013 34.037560	0.000 0.000 0.000
weapon_mor_uzi	1753.099976 3330.072998 210.037552	0.000 0.000 0.000
weapon_mor_uzi	-1245.554443 623.135620 322.037537	0.000 0.000 0.000
weapon_mor_uzi	130.805511 -2544.618164 194.037537	0.000 0.000 0.000
weapon_mor_uzi	-645.329163 -109.840973 218.037552	0.000 0.000 0.000
weapon_mor_uzi	-542.742004 -1000.624817 354.037537	0.000 0.000 0.000
weapon_mor_lz400	-2448.614258 1248.000122 0.500152	-2.319 -18.122 85.773
weapon_mor_lz400	1952.372559 2014.215698 16.502069	-2.309 -18.122 85.770
weapon_mor_lz400	-459.704895 914.783936 24.487478	-2.382 -18.123 85.795
weapon_mor_lz400	-3822.440674 2834.155762 176.488327	-2.378 -18.123 85.794
item_ammo_smg1_mor	1314.025269 1073.641846 32.517185	-0.267 0.014 -0.230
item_ammo_smg1_mor	1301.778931 1073.641968 32.411224	0.267 -0.005 0.167
item_ammo_smg1_mor	1286.744507 1074.408203 32.514626	-0.261 0.012 -0.228
item_ammo_smg1_mor	795.734558 796.202637 32.535881	-0.145 0.017 -0.127
