# morbus weapon/ammo placement overrides - Thank TTT for this lua code
# For map: mor_isolation_b1
# Exported by: Remscar
setting:	replacespawns 1
weapon_mor_ump	-883.972290 897.095886 48.845039	-0.556 -26.386 88.578
weapon_mor_ump	-855.693787 896.180725 48.865929	-0.218 -17.903 89.179
weapon_mor_ka47	986.351868 -3016.559082 33.219521	-0.841 12.296 84.349
weapon_mor_ka47	-747.094299 -1429.653442 1.131535	-0.504 1.628 82.836
weapon_mor_ka47	-1460.166870 -1600.466919 1.171194	-0.590 -12.676 83.448
weapon_mor_ka47	-880.067078 754.604492 50.703136	-0.253 -16.641 -101.814
weapon_mor_ka47	-859.132996 754.938416 51.658821	-0.063 -20.613 -108.210
weapon_mor_sc7	997.817322 -2797.259766 33.715919	0.599 -85.598 -80.963
weapon_mor_sc7	-1447.522461 -2135.161621 1.292099	0.362 -4.825 87.104
mor_random_ammo	1308.508179 -3834.490967 112.360542	-0.064 -0.000 0.007
mor_random_ammo	1320.956177 -3834.113525 112.323502	-0.047 0.000 0.033
mor_random_ammo	1337.005005 -3833.822021 112.376099	0.135 -0.000 -0.102
mor_random_ammo	1349.571289 -3834.162842 112.382507	0.216 0.001 0.204
mor_random_ammo	1308.962646 -3809.462402 112.335991	-0.047 -0.000 -0.027
mor_random_ammo	1320.994751 -3808.769531 112.326057	-0.047 -0.000 -0.032
mor_random_ammo	1334.776855 -3807.976807 112.343063	-0.048 -0.000 -0.021
mor_random_ammo	1351.233765 -3807.885498 112.453468	0.910 0.025 1.103
mor_random_ammo	1308.370972 -3776.457031 64.394539	1.099 0.015 1.283
mor_random_ammo	1308.606567 -3740.370361 64.425056	1.462 0.034 1.766
mor_random_ammo	1326.322754 -3772.972168 64.327858	0.047 0.000 -0.031
mor_random_ammo	1339.630981 -3770.904541 64.353348	0.055 0.000 -0.008
mor_random_ammo	1327.780762 -3742.631104 64.357513	0.060 0.000 0.001
mor_random_ammo	1342.909790 -3743.989990 64.417038	1.719 0.036 2.086
mor_random_ammo	1212.376831 -3834.496338 32.389122	0.415 0.003 0.449
mor_random_ammo	1211.997314 -3802.729004 32.416241	1.628 -0.036 -1.969
