# morbus weapon/ammo placement overrides - Thank TTT for this lua code
# For map: mor_isolation_cv1
# Exported by: Demonkush
setting:	replacespawns 1
weapon_mor_ump	-859.858521 796.273132 40.762688	-0.521 -18.448 88.749
weapon_mor_ump	91.740326 -151.027069 -239.217133	-0.570 -18.492 88.839
weapon_mor_ka47	719.012512 -1730.144897 33.457489	-0.823 -24.310 -84.729
weapon_mor_sc7	-67.917595 -808.659424 -174.714661	0.424 -4.825 87.000
mor_random_ammo	13.695801 -3451.799072 0.424389	1.523 -0.036 -1.848
mor_random_ammo	-128.802322 -3463.329834 0.459728	0.784 0.023 0.952
mor_random_ammo	-72.679268 -3472.694824 0.332826	0.047 0.000 -0.028
mor_random_ammo	-546.233337 681.135620 40.397755	-0.481 -0.003 0.529
mor_random_ammo	-536.124512 841.282715 40.344608	0.049 -0.000 0.019
mor_random_ammo	-856.650391 886.296570 40.415611	1.679 0.035 2.031
mor_random_ammo	-847.540222 895.364563 40.392860	0.827 -0.009 -0.952
mor_random_ammo	-865.559814 722.850708 40.330391	0.047 -0.000 0.029
mor_random_ammo	-833.225769 716.348999 40.439747	-0.160 0.175 -0.146
mor_random_ammo	210.412521 1194.403931 -31.648790	0.053 0.000 -0.011
mor_random_ammo	195.733246 1234.269531 -31.672140	0.047 0.000 -0.031
mor_random_ammo	196.408264 1207.272583 -31.653170	0.050 0.000 -0.017
mor_random_ammo	672.359131 -3425.888184 0.391738	-0.325 -0.002 0.338
mor_random_ammo	699.830261 -3425.074951 0.397801	-0.486 -0.003 0.536
mor_random_ammo	2376.019775 -2272.227295 112.440369	1.171 0.029 1.418
mor_random_ammo	1591.682129 -2123.453125 0.391692	0.612 -0.005 -0.690
mor_random_ammo	1575.247803 -2134.188965 0.353347	0.055 0.000 -0.007
mor_random_ammo	-357.143127 -4255.186035 16.380844	0.192 -0.001 -0.174
mor_random_ammo	-359.535950 -4299.677734 16.367281	0.083 -0.000 -0.035
mor_random_ammo	894.740112 -4385.248535 16.356339	-0.057 -0.000 -0.003
mor_random_ammo	966.132690 -4387.310547 16.343054	-0.048 -0.000 -0.021
mor_random_ammo	933.772766 -4364.094727 16.402000	-0.626 -0.005 0.708
mor_random_ammo	1236.229980 -4802.785645 4.369165	0.090 0.000 0.044
mor_random_ammo	1270.641357 -4835.535156 4.377724	0.151 -0.001 -0.123
mor_random_ammo	1266.656128 -4810.940430 4.351202	0.052 0.000 -0.011
mor_random_ammo	1246.217407 -4833.034180 4.320107	0.047 0.000 -0.034
mor_random_ammo	-717.163879 -3288.411621 -319.642487	0.060 0.000 0.001
mor_random_ammo	-752.336243 -3268.025146 -319.679901	0.047 0.000 -0.034
mor_random_ammo	-295.274628 -3178.583252 -175.536743	0.705 0.022 0.856
mor_random_ammo	-288.007141 -3204.095459 -175.648773	0.052 -0.000 0.011
mor_random_ammo	-299.534424 -3245.292969 -175.632706	0.084 -0.000 -0.035
mor_random_ammo	-1367.644409 -4738.821777 -151.637909	0.241 0.001 0.184
mor_random_ammo	-1366.834351 -4785.276855 -151.581299	1.551 -0.040 -1.872
mor_random_ammo	-1359.210205 -4760.550781 -151.682556	0.047 0.000 -0.035
mor_random_ammo	-1356.774536 -4717.648926 -151.641556	-0.060 -0.000 0.001
mor_random_ammo	-480.771240 -4382.174316 16.376200	0.132 0.000 0.099
mor_random_ammo	-700.505920 -4835.582031 0.327887	0.046 -0.000 0.031
mor_random_ammo	-745.854370 -4848.160645 0.443203	1.143 0.029 1.387
mor_random_ammo	-881.971436 -3659.139404 40.468224	0.181 0.001 0.162
mor_random_ammo	-121.052963 -3449.197510 64.363503	0.072 0.000 0.018
mor_random_ammo	-1383.069458 -1674.629761 16.376423	-0.124 -0.000 0.088
mor_random_ammo	-1384.382690 -1690.156738 16.344587	0.049 0.000 -0.019
mor_random_ammo	-1082.092529 -1361.687744 16.372747	0.111 0.000 0.071
mor_random_ammo	-247.078140 381.574066 -239.625488	0.121 0.000 0.084
mor_random_ammo	-309.464447 375.627289 -239.682526	0.047 0.000 -0.035
mor_random_ammo	-987.457886 -1740.247803 0.377831	0.152 0.001 0.123
mor_random_ammo	-991.953369 -1780.160156 0.317460	0.047 0.000 -0.035
mor_random_ammo	-986.850647 -1969.798828 0.394296	0.935 0.011 1.084
mor_random_ammo	-986.157349 -1912.218750 0.339995	0.047 0.000 -0.023
mor_random_ammo	-1381.528442 -573.927124 16.390249	0.472 0.003 0.519
mor_random_ammo	-1051.647949 -753.314148 16.441538	1.013 0.023 1.103
weapon_mor_r22	3047.687988 -1475.532104 1.595802	-1.296 -1.049 87.677
weapon_mor_r22	1488.816772 -2148.111084 1.615077	-1.279 -1.058 88.059
weapon_mor_r22	717.734985 -1574.062500 73.627495	-1.248 -5.051 88.374
weapon_mor_r22	-1168.339722 -524.393738 -174.385803	-1.280 -1.058 88.042
weapon_mor_r22	-672.642944 -403.716461 25.633333	-1.331 10.089 89.239
weapon_mor_r22	-596.987427 -3673.249756 129.603760	-1.289 -1.053 87.835
weapon_mor_vek	714.859985 -1635.213867 33.113029	0.340 -3.093 88.749
weapon_mor_vek	-1158.053589 -3771.105469 -142.895950	0.471 -3.091 88.619
weapon_mor_vek	-0.365840 -1160.717773 1.095912	0.590 -3.087 88.501
weapon_mor_uzi	-714.439392 -3676.396729 -141.962433	0.000 0.000 0.000
weapon_mor_uzi	206.479462 1095.616089 2.037560	0.000 0.000 0.000
weapon_mor_lz400	709.528320 -1685.480347 72.524750	-2.195 -7.827 85.736
weapon_mor_lz400	688.048035 438.452179 0.493094	-2.354 -18.119 85.785
item_ammo_smg1_mor	-58.481724 1420.907959 0.504019	-0.733 0.012 -0.554
item_ammo_smg1_mor	-28.542131 1422.848022 0.505339	-0.595 0.010 -0.457
item_ammo_smg1_mor	-834.597656 668.047119 40.455967	0.056 0.026 0.021
item_ammo_smg1_mor	-848.692932 692.264771 40.480770	0.215 0.001 0.022
item_ammo_smg1_mor	-541.278748 754.926331 40.426510	0.601 0.003 -0.391
item_ammo_smg1_mor	-563.200439 749.122253 40.505802	-0.594 0.011 -0.459
item_ammo_smg1_mor	-872.377380 808.878479 40.514984	-0.279 0.014 -0.239
item_ammo_smg1_mor	-853.247803 807.019287 40.557899	0.091 0.018 0.023
item_ammo_smg1_mor	-772.643066 673.870605 40.415756	-0.338 0.005 0.215
item_ammo_smg1_mor	-754.375916 678.295776 40.533283	0.159 -0.017 -0.139
item_ammo_smg1_mor	-654.066772 664.237915 40.406559	-0.214 0.005 0.132
item_ammo_smg1_mor	-669.287170 669.014465 40.389065	-0.098 0.005 0.054
item_ammo_smg1_mor	739.645813 -3242.930420 0.401744	0.170 -0.005 0.102
item_ammo_smg1_mor	766.655640 -3243.531738 0.504457	-0.662 0.011 -0.504
item_ammo_smg1_mor	1218.218018 -3927.499512 128.426514	0.600 -0.003 0.391
item_ammo_smg1_mor	1196.688477 -3924.050049 128.510132	-0.336 0.010 -0.277
item_ammo_smg1_mor	2324.475830 -4162.727051 80.413506	0.299 -0.005 0.189
item_ammo_smg1_mor	2296.480469 -4158.976563 80.531418	-0.169 0.017 -0.148
item_ammo_smg1_mor	2550.465088 -3029.466553 0.485593	-0.564 -0.020 -0.369
item_ammo_smg1_mor	2562.655518 -3033.332520 0.518438	-0.949 0.091 -0.326
item_ammo_smg1_mor	2625.098389 -2626.595703 112.389069	0.099 -0.005 0.054
item_ammo_smg1_mor	2597.293457 -2624.179688 112.520813	-0.225 0.015 -0.197
item_ammo_smg1_mor	3725.671631 -1850.248169 0.539732	-0.122 0.017 -0.106
item_ammo_smg1_mor	3740.229248 -1840.168335 0.499807	-0.840 0.011 -0.626
item_ammo_smg1_mor	3074.302002 -1447.788696 0.406554	0.213 -0.005 0.131
item_ammo_smg1_mor	3037.441650 -1455.023438 0.537488	-0.137 0.017 -0.119
item_ammo_smg1_mor	1500.639648 -2133.114258 0.396786	0.137 -0.005 0.080
item_ammo_smg1_mor	735.319641 -1618.007690 32.429626	0.567 -0.002 0.352
item_ammo_smg1_mor	713.464539 -1619.775391 32.523594	-0.215 0.015 -0.186
item_ammo_smg1_mor	731.980530 -1597.644897 72.420151	0.423 -0.004 0.272
item_ammo_smg1_mor	709.847961 -1592.797607 72.420151	0.423 -0.004 0.272
item_ammo_smg1_mor	-547.603027 -1551.815063 32.430595	0.758 -0.002 0.496
item_ammo_smg1_mor	363.160065 -4582.743652 0.484725	-0.795 0.003 -0.643
item_ammo_smg1_mor	-963.106445 -4592.270508 0.518843	-0.235 0.015 -0.206
item_ammo_smg1_mor	-1358.926147 -4759.826660 -199.582031	0.373 -0.005 0.239
item_ammo_smg1_mor	-1342.774780 -4759.627930 -199.582031	0.379 -0.005 0.243
item_ammo_smg1_mor	-738.009094 -4834.253418 -219.519272	0.214 0.001 0.022
item_ammo_smg1_mor	1508.304321 -4316.031738 16.430593	0.747 -0.002 0.489
item_ammo_smg1_mor	1483.609375 -4312.118652 16.507244	-0.433 0.011 -0.343
item_ammo_smg1_mor	727.289490 -4127.819824 4.380983	-0.071 0.005 0.035
item_ammo_smg1_mor	728.299316 -4155.537109 4.394250	0.122 -0.005 0.070
item_ammo_smg1_mor	1112.883179 -3862.868408 4.521696	-0.232 0.015 -0.196
item_ammo_smg1_mor	1102.905151 -3832.113525 4.548748	-0.077 0.018 -0.067
item_ammo_smg1_mor	-1187.920044 -3772.934570 -143.461746	0.132 -0.017 -0.116
item_ammo_smg1_mor	-1193.606323 -3941.717041 -303.479126	-0.237 0.015 -0.199
item_ammo_smg1_mor	-1173.988892 -3941.780029 -303.497375	-0.801 0.013 -0.600
item_ammo_smg1_mor	-840.084290 -3137.814941 -319.562958	1.106 0.002 0.729
item_ammo_smg1_mor	-852.013367 -3136.793213 -319.515686	0.661 -0.011 0.343
