# morbus weapon/ammo placement overrides - Thank TTT for this lua code
# For map: mor_outpostnorth32_a4
# Exported by: splitsticks
setting:	replacespawns 1
weapon_glowstick	-764.0000 -4372.0000 245.0228	-0.295 0.676 -0.065
weapon_glowstick	-774.0000 -4372.0000 244.9729	-0.486 0.638 -0.107
weapon_glowstick	-784.0000 -4372.0000 244.9670	-0.509 0.624 -0.112
weapon_glowstick	-784.0000 -4382.0000 244.9972	-0.393 0.663 -0.087
weapon_glowstick	-774.0000 -4382.0000 244.9381	-0.619 0.585 -0.136
weapon_glowstick	-764.0000 -4382.0000 244.9690	-0.501 0.636 -0.110
weapon_glowstick	2310.0000 -5095.0000 52.9924	-0.412 0.656 -0.091
weapon_glowstick	2310.0000 -5085.0000 52.9522	-0.565 0.609 -0.124
weapon_glowstick	2310.0000 -5075.0000 52.9840	-0.444 0.648 -0.098
weapon_glowstick	2300.0000 -5085.0000 52.9924	-0.412 0.656 -0.091
weapon_glowstick	2300.0000 -5095.0000 52.9874	-0.431 0.655 -0.095
weapon_glowstick	2300.0000 -5075.0000 52.9940	-0.405 0.656 -0.089
weapon_glowstick	-3830.0000 -1343.0000 52.9857	-0.437 0.648 -0.096
weapon_glowstick	-3820.0000 -1343.0000 52.9908	-0.418 0.656 -0.092
weapon_glowstick	-3810.0000 -1343.0000 53.0089	-0.349 0.667 -0.077
weapon_glowstick	-3820.0000 -1333.0000 52.9908	-0.418 0.656 -0.092
weapon_glowstick	-3830.0000 -1333.0000 52.9767	-0.472 0.638 -0.104
weapon_glowstick	-3810.0000 -1333.0000 52.9690	-0.501 0.636 -0.110
weapon_glowstick	-1135.0000 -4433.0000 52.9869	-0.488 0.782 -0.097
weapon_glowstick	-1125.0000 -4433.0000 53.0244	0.205 1.583 0.208
weapon_glowstick	-1115.0000 -4433.0000 53.0439	-1.499 0.489 0.719
weapon_glowstick	-1135.0000 -4443.0000 52.9936	-0.460 0.790 -0.091
weapon_glowstick	-1125.0000 -4443.0000 52.9919	-0.467 0.791 -0.093
weapon_glowstick	-1115.0000 -4443.0000 52.9936	-0.460 0.790 -0.091
weapon_glowstick	1195.0000 -2763.0000 70.9742	-0.471 0.619 -0.112
weapon_glowstick	1205.0000 -2763.0000 70.9780	-0.457 0.628 -0.109
weapon_glowstick	1215.0000 -2763.0000 70.9902	-0.411 0.637 -0.098
weapon_glowstick	1215.0000 -2753.0000 70.9816	-0.443 0.629 -0.106
weapon_glowstick	1205.0000 -2753.0000 70.9852	-0.430 0.629 -0.102
weapon_glowstick	1195.0000 -2753.0000 70.9951	-0.393 0.642 -0.094
weapon_glowstick	-785.0000 -2705.0000 192.9956	-0.399 0.662 -0.088
weapon_glowstick	-785.0000 -2715.0000 192.9972	-0.393 0.663 -0.087
weapon_glowstick	-785.0000 -2725.0000 192.9382	-0.619 0.585 -0.136
weapon_glowstick	-775.0000 -2715.0000 192.9822	-0.451 0.648 -0.099
