# morbus weapon/ammo placement overrides - Thank TTT for this lua code
# For map: mor_outpostnorth32_a5_fixed
# Exported by: AP Art History
setting:	replacespawns 1
weapon_mor_ump	556.311890 -4647.662109 46.872219	-0.196 -17.765 89.161
weapon_mor_ka47	-1132.526611 -2481.740723 81.300110	-0.756 -23.877 -85.170
weapon_mor_ka47	-1238.607178 -7656.261719 47.448746	-0.809 -24.295 -84.599
weapon_mor_sc7	-1125.448486 -4452.157227 47.296913	0.317 -4.625 87.178
weapon_mor_sc7	-737.312805 -360.975525 47.750317	0.711 1.583 -80.935
weapon_mor_sc7	128.640121 -916.559631 75.662346	-2.104 -1.704 -84.444
weapon_mor_sc7	-57.179138 -2768.764404 334.485107	0.351 9.057 88.554
mor_random_ammo	-1001.427612 -4378.123535 48.710724	0.555 55.892 -90.641
mor_random_ammo	-1010.209473 -4365.294922 48.712624	89.221 -100.593 -83.962
mor_random_ammo	-1017.901978 -4358.329102 48.718613	-0.309 30.955 89.783
mor_random_ammo	-1026.537842 -4362.320801 48.762138	-0.068 -20.125 90.155
mor_random_ammo	-1022.073364 -4361.086426 48.715511	0.538 -110.005 89.925
mor_random_ammo	-659.073059 -4657.248047 49.586773	-88.161 -116.166 90.174
mor_random_ammo	-659.217407 -4633.302734 49.634937	-89.397 -113.814 88.660
mor_random_ammo	-659.744568 -4626.355957 49.662094	-89.529 176.626 168.334
mor_random_ammo	-1134.610840 -3652.940186 48.736465	-0.182 170.699 89.916
mor_random_ammo	-1133.442505 -3633.569092 48.710075	-1.214 -175.962 89.990
mor_random_ammo	-1133.455322 -3613.549072 48.707424	-1.311 -174.719 90.007
mor_random_ammo	-1138.550659 -3645.666016 48.797901	88.824 -31.650 -114.042
mor_random_ammo	-755.144836 -3460.858643 82.515259	-0.000 1.371 -90.118
mor_random_ammo	-773.762207 -3463.563965 80.250862	-1.358 0.032 -1.623
mor_random_ammo	2296.133301 -2908.844238 446.511780	-4.944 -0.503 -1.888
mor_random_ammo	2325.206543 -2791.189209 444.306885	-4.863 -0.514 -1.889
mor_random_ammo	2328.072998 -2738.834473 448.374481	0.123 0.000 0.087
mor_random_ammo	2319.987305 -2596.914062 446.408173	-8.540 0.992 -9.683
mor_random_ammo	1613.060303 -2713.270996 107.052856	-9.472 0.905 0.645
mor_random_ammo	1879.527100 -2459.730713 134.205429	10.457 6.303 -103.942
mor_random_ammo	1999.684082 -2630.136475 135.668091	0.338 0.195 2.839
mor_random_ammo	1583.721924 -2393.061279 122.275330	-1.806 6.296 -116.225
mor_random_ammo	1916.845947 -2117.382568 445.840118	-5.655 1.155 2.740
mor_random_ammo	1189.668457 -2727.658936 444.787079	8.156 1.871 0.265
mor_random_ammo	1292.768433 -2960.926758 832.351196	0.053 0.000 -0.011
mor_random_ammo	1610.793091 -2934.760742 829.703613	0.291 -0.117 -2.574
mor_random_ammo	1730.190552 -2942.709717 829.691711	-1.638 -0.567 -0.966
mor_random_ammo	2497.825928 -4881.940430 186.443893	1.063 0.028 1.284
mor_random_ammo	2498.310791 -4836.551270 186.416504	1.591 0.036 1.917
mor_random_ammo	1782.654175 -5091.659668 326.445801	-1.451 -0.034 1.748
mor_random_ammo	1786.479248 -5081.069824 326.401886	-0.614 -0.005 0.694
mor_random_ammo	1810.220825 -5091.242188 326.372772	0.105 0.000 0.065
mor_random_ammo	-613.734131 -4880.791992 238.477722	-0.261 -0.572 -0.458
mor_random_ammo	-646.864502 -4783.713867 238.394760	1.065 0.014 1.242
mor_random_ammo	-760.305176 -4800.562988 288.436493	1.289 0.031 1.565
mor_random_ammo	-742.417908 -4921.313477 288.349030	0.051 0.000 -0.014
mor_random_ammo	-739.254150 -4794.581055 288.424011	1.541 0.037 1.868
mor_random_ammo	-737.762268 -4725.752930 288.325317	0.047 0.000 -0.032
mor_random_ammo	-769.734985 -4750.515625 288.421722	1.559 0.040 1.886
mor_random_ammo	-978.329529 -5249.800293 238.320084	0.046 0.000 -0.034
mor_random_ammo	-875.822571 -5257.584961 238.320114	0.046 -0.000 0.034
mor_random_ammo	-1130.944214 -5177.689453 288.349030	0.051 0.000 -0.014
mor_random_ammo	-1012.609985 -5193.450195 288.414398	1.804 0.035 2.192
mor_random_ammo	-935.341064 -5169.813965 288.363495	0.072 0.000 0.018
mor_random_ammo	-872.117615 -5138.517578 288.346832	0.050 0.000 -0.017
