# morbus weapon/ammo placement overrides - Thank TTT for this lua code
# For map: mor_ptmc_v22
# Exported by: Demonkush ( ͡° ͜ʖ ͡°)
setting:	replacespawns 1
weapon_mor_ump	2106.573486 -2197.785645 40.678917	-0.185 -18.173 88.934
weapon_mor_ump	2356.916748 -2106.066895 40.768677	-0.536 -18.461 88.776
weapon_mor_ump	2411.466797 -2172.929199 40.760517	-0.088 -28.957 89.361
weapon_mor_ump	2410.869141 -2127.377930 40.644878	-0.089 -19.570 88.313
weapon_mor_ump	2467.119873 -225.475113 16.786654	0.257 -30.456 89.351
weapon_mor_ump	2777.481934 264.174561 16.705469	-0.022 -20.207 88.709
weapon_mor_ump	2767.293213 -792.351990 16.779242	-0.561 -18.485 88.823
weapon_mor_ump	3682.871826 -911.617920 16.768059	-0.534 -18.461 88.773
weapon_mor_ump	3464.199951 1058.778809 48.770794	-0.541 -18.466 88.785
weapon_mor_ump	-72.618950 -211.548386 115.565033	3.146 22.832 -97.042
weapon_mor_ump	108.179390 -3705.654785 32.731102	-0.204 -19.337 88.760
weapon_mor_ump	136.051620 -3501.290039 32.773739	-0.548 -18.472 88.798
weapon_mor_ump	-3080.352783 696.824341 84.768768	-0.518 -18.042 89.107
weapon_mor_ka47	2351.615967 -2136.176514 41.707714	-1.081 -27.601 -89.205
weapon_mor_ka47	-445.507385 -3490.731201 17.458773	-0.675 -23.000 -84.592
weapon_mor_ka47	-3709.731689 673.356812 17.461128	-0.680 -23.000 -84.628
weapon_mor_ka47	-3217.636963 -2813.117432 17.465412	-0.689 -23.000 -84.694
weapon_mor_ka47	-247.524643 -262.366760 125.772308	-4.556 -23.356 -97.589
weapon_mor_sc7	1645.406372 -2182.487793 41.285286	0.424 -5.038 86.999
weapon_mor_sc7	1646.818481 -2112.621094 41.294598	0.339 -3.691 87.142
weapon_mor_sc7	169.608444 332.939178 145.746994	0.790 4.933 -80.437
weapon_mor_sc7	131.543839 -3429.795410 33.294537	0.339 -4.824 87.141
weapon_mor_sc7	3620.837402 766.170715 17.301504	0.275 -4.823 87.248
need_piss	-5824.382324 -5554.687988 -163.156799	0.130 94.236 -13.525
need_piss	-5830.902832 -5440.008789 -173.727081	0.065 -0.121 -0.008
need_piss	-5830.055176 -5200.062988 -171.571777	-5.620 0.245 -0.002
need_piss	-5816.314941 -5039.955078 -173.706451	0.000 -0.013 -0.000
need_piss	-5817.323730 -4926.316895 -173.706451	0.000 -0.851 0.000
need_piss	-5822.108398 -4802.992676 -173.800903	-0.076 0.001 0.041
need_piss	-5813.668945 -4687.949707 -171.500244	-0.535 -0.000 0.000
mor_random_ammo	2403.172607 -2255.656494 40.394806	1.259 0.019 1.477
mor_random_ammo	2423.072021 -2255.290771 40.372707	0.109 -0.000 -0.069
mor_random_ammo	2400.758789 -2224.955322 40.387932	0.364 0.002 0.387
mor_random_ammo	2422.533936 -2228.928223 40.327862	0.047 0.000 -0.031
mor_random_ammo	-5888.072754 -364.554626 -191.606476	1.094 -0.015 -1.277
mor_random_ammo	-5618.083984 -112.526894 -191.636505	0.072 -0.000 -0.019
mor_random_ammo	-5618.360352 43.675278 -191.640457	0.064 0.000 0.007
mor_random_ammo	-5572.554688 -2610.203613 -191.672134	0.047 0.000 -0.031
mor_random_ammo	-5548.451172 -2316.370117 -191.558609	1.199 0.030 1.457
mor_random_ammo	-5095.339355 -2258.882324 -191.650955	0.051 0.000 -0.014
mor_random_ammo	-5145.956055 -2534.686035 -191.667175	0.047 0.000 -0.028
mor_random_ammo	-5713.087402 -2260.515137 -191.674683	0.047 0.000 -0.032
mor_random_ammo	-5597.037109 -2185.267334 -191.648788	0.053 0.000 -0.011
mor_random_ammo	-6201.399414 -5062.897949 -191.652390	-0.050 -0.000 -0.017
mor_random_ammo	-6211.609863 -5030.343262 -191.666443	-0.047 -0.000 -0.028
mor_random_ammo	-2030.122070 -106.586723 16.344608	0.049 -0.000 0.019
mor_random_ammo	-1226.564087 -2158.600098 16.346834	0.050 0.000 -0.017
weapon_mor_r22	1906.410400 -2206.390869 41.547409	-1.337 -1.029 86.723
weapon_mor_r22	1901.507813 -2168.330322 41.600624	-1.291 -1.052 87.773
weapon_mor_r22	2160.861084 -2180.241455 41.593575	-1.297 -1.048 87.633
weapon_mor_r22	3410.213379 1037.547852 49.575809	-1.313 -1.041 87.282
weapon_mor_r22	3607.122070 -31.933472 17.619925	-1.272 -1.100 89.479
weapon_mor_r22	117.081108 -3481.659668 33.592030	-1.299 -1.048 87.603
weapon_mor_r22	-2924.692383 960.059631 17.608320	-1.285 -1.055 87.925
weapon_mor_r22	-3889.620605 859.069458 85.562279	-1.185 -0.816 88.309
weapon_mor_r22	-5702.103516 -27.071680 -190.457962	-1.345 -1.226 86.605
weapon_mor_vek	1896.252686 -2133.886963 41.105206	0.454 -3.091 88.636
weapon_mor_vek	2402.076416 -2203.232178 41.104824	0.460 -3.091 88.630
weapon_mor_vek	1585.795532 -2157.130615 40.984062	-0.017 -4.587 87.118
weapon_mor_vek	2349.986816 -2200.035889 41.099339	0.540 -3.088 88.551
weapon_mor_vek	2678.000732 -356.708588 17.068144	0.282 -3.120 87.972
weapon_mor_vek	892.228210 29.783573 17.099339	0.540 -3.088 88.551
weapon_mor_vek	3494.744141 1048.334961 49.114624	0.312 -2.701 88.783
weapon_mor_vek	128.213013 -3461.024170 33.100254	0.527 -3.089 88.564
weapon_mor_vek	-2987.700928 681.575745 17.102425	0.495 -3.090 88.595
weapon_mor_vek	-2141.006592 173.310638 17.105944	0.444 -3.092 88.646
weapon_mor_uzi	1890.490356 -2099.299316 42.037560	0.000 0.000 0.000
weapon_mor_uzi	1985.523926 409.620483 18.037560	0.000 0.000 0.000
weapon_mor_uzi	111.499146 -3616.411865 34.037560	0.000 0.000 0.000
weapon_mor_lz400	1572.518799 -2218.726074 40.533997	-1.888 6.903 86.126
weapon_mor_lz400	3178.666748 -1690.977661 224.487473	-2.382 -18.123 85.795
weapon_mor_lz400	3789.760986 1346.939331 16.493849	-2.350 -18.119 85.784
weapon_mor_lz400	-4003.660889 5.699297 16.495323	-2.343 -18.119 85.782
item_ammo_smg1_mor	1856.709106 -2233.626953 40.477177	0.551 -0.083 0.246
item_ammo_smg1_mor	1833.117676 -2232.066895 40.417973	0.379 -0.005 0.243
item_ammo_smg1_mor	1851.045532 -2209.031494 40.479797	0.209 0.000 0.021
item_ammo_smg1_mor	1832.528076 -2210.788330 40.519157	-0.252 0.014 -0.213
item_ammo_smg1_mor	1853.962280 -2185.277100 40.475643	0.561 -0.068 0.257
item_ammo_smg1_mor	1833.926025 -2182.197021 40.498981	-0.837 0.011 -0.621
item_ammo_smg1_mor	1887.234497 -2114.650391 40.477150	0.503 -0.001 0.220
item_ammo_smg1_mor	1906.132324 -2115.982910 40.509583	-0.363 0.011 -0.298
item_ammo_smg1_mor	2106.128662 -2097.232178 40.406559	-0.212 0.005 0.131
item_ammo_smg1_mor	2088.580811 -2095.629150 40.430599	-0.757 0.002 0.496
item_ammo_smg1_mor	2113.831055 -2119.075195 40.426334	0.401 -0.218 0.248
item_ammo_smg1_mor	2094.541748 -2118.593994 40.530434	0.175 -0.017 -0.152
item_ammo_smg1_mor	2111.353271 -2257.596436 40.477600	0.548 -0.083 0.243
item_ammo_smg1_mor	2088.120605 -2257.746338 40.497875	-0.865 -0.012 -0.646
item_ammo_smg1_mor	2400.079834 -2154.532959 40.406559	0.214 -0.005 0.132
item_ammo_smg1_mor	2421.177490 -2152.207275 40.437057	1.105 0.002 0.728
item_ammo_smg1_mor	2400.877686 -2093.615234 40.475788	0.560 -0.014 0.250
item_ammo_smg1_mor	2418.921875 -2096.383301 40.417973	0.379 -0.005 0.243
item_ammo_smg1_mor	2709.533203 112.903595 16.406557	0.214 -0.005 0.132
item_ammo_smg1_mor	2733.008301 111.740700 16.428568	0.670 -0.003 0.437
item_ammo_smg1_mor	2911.525635 -218.863159 16.428568	0.675 -0.003 0.441
item_ammo_smg1_mor	2883.376465 -218.148071 16.415754	0.334 -0.005 0.213
item_ammo_smg1_mor	2659.165039 -351.934784 16.477287	-0.550 0.083 0.245
item_ammo_smg1_mor	2712.587646 -349.325012 16.477316	0.550 -0.083 0.245
item_ammo_smg1_mor	2932.776855 -854.931091 16.422302	0.477 -0.004 0.308
