# morbus weapon/ammo placement overrides - Thank TTT for this lua code
# For map: mor_skandalon_b3
# Exported by: Remscar
setting:	replacespawns 1
weapon_mor_ump	413.884583 1750.820557 0.891795	-0.104 -17.578 88.951
weapon_mor_ump	83.659660 -1186.806274 353.623169	-0.346 -17.784 89.115
weapon_mor_ump	-19.806896 1483.591675 352.840454	-0.369 -20.723 89.158
weapon_mor_ka47	-1542.010376 1200.144287 1.180942	-0.650 -9.554 83.639
weapon_mor_ka47	84.170128 1324.328003 353.484619	-0.731 -22.997 -84.990
weapon_mor_sc7	779.082458 1365.011475 1.703849	0.742 -0.742 -80.772
weapon_mor_sc7	31.497431 1284.583740 353.290833	0.373 -4.823 87.084
need_piss	-1256.097900 1128.651245 18.301056	-0.012 0.004 -0.002
need_piss	-1260.154297 990.272522 18.223631	0.047 -3.154 0.022
need_piss	-1264.552734 850.085754 18.207785	0.002 -1.864 0.007
mor_random_ammo	-1292.661133 29.588079 -287.655426	0.048 0.000 -0.019
mor_random_ammo	-1155.284912 297.976959 -287.588318	-1.082 -0.014 1.263
mor_random_ammo	-1031.705322 203.875931 -287.659271	-0.047 -0.000 -0.023
mor_random_ammo	-679.053772 283.738922 -287.544342	-1.262 -0.031 1.527
mor_random_ammo	-283.829559 297.774963 -287.660034	0.047 0.000 -0.023
mor_random_ammo	266.910522 293.863007 -287.636505	0.071 0.000 0.017
mor_random_ammo	313.499420 112.833961 -287.634583	0.076 0.000 0.025
mor_random_ammo	315.290192 -262.490417 -287.605194	1.452 0.025 1.713
mor_random_ammo	304.769043 -536.855286 -287.655426	0.048 0.000 -0.019
mor_random_ammo	422.455566 -820.795532 -287.662354	0.047 -0.000 0.025
mor_random_ammo	-263.823151 -299.000916 -287.636505	0.071 0.000 0.018
mor_random_ammo	-505.821808 -226.675247 -287.669647	0.046 0.000 -0.029
mor_random_ammo	-938.117432 -352.262573 -287.640472	0.063 0.000 0.006
mor_random_ammo	-850.442932 -447.030426 -287.605652	0.928 0.011 1.075
mor_random_ammo	-819.643738 -1036.396118 -287.674713	0.047 0.000 -0.032
mor_random_ammo	-913.706970 -1236.467896 -287.617462	0.212 0.001 0.199
mor_random_ammo	-2043.657959 205.997040 -287.627350	-0.528 0.005 0.011
mor_random_ammo	-1995.790161 203.279724 -287.542389	-1.228 -0.030 1.488
mor_random_ammo	-2013.387329 250.001999 -287.585602	-1.236 -0.018 1.450
mor_random_ammo	-323.852356 698.595764 -287.687256	-0.048 -0.000 -0.037
mor_random_ammo	-285.985443 704.185486 -287.621704	-0.135 -0.000 0.102
mor_random_ammo	226.028168 1838.704346 -287.638458	0.066 -0.000 -0.011
mor_random_ammo	196.129669 1839.598633 -287.614868	0.278 -0.001 -0.280
mor_random_ammo	182.533035 1804.311768 -287.642487	0.059 0.000 0.000
mor_random_ammo	465.433655 733.010620 -287.652405	-0.050 -0.000 -0.017
mor_random_ammo	419.267487 739.323608 -287.656952	-0.048 -0.000 -0.021
mor_random_ammo	373.390472 749.464600 -287.595764	-0.717 -0.007 0.818
mor_random_ammo	50.613140 753.676453 0.391252	0.543 0.004 0.606
mor_random_ammo	-110.787910 -304.847382 0.370597	-0.091 -0.000 0.045
mor_random_ammo	-148.937393 -298.488831 0.391713	-0.323 -0.002 0.335
mor_random_ammo	-873.419189 -161.497116 2.662359	-1.232 -48.035 -89.969
mor_random_ammo	-861.712463 -130.994827 0.465171	-0.583 0.890 -1.572
mor_random_ammo	-837.624207 -130.948715 0.462501	-0.841 -4.169 -0.016
mor_random_ammo	-1105.434448 164.920059 16.387606	0.364 -0.002 -0.387
mor_random_ammo	-1126.487305 194.930206 18.714083	88.901 127.007 88.892
mor_random_ammo	-1129.874634 221.770096 16.482037	-1.855 17.175 1.525
mor_random_ammo	-1058.119629 196.001266 16.385359	0.276 0.001 0.278
mor_random_ammo	-1065.231689 162.135834 16.365421	0.077 0.000 0.026
mor_random_ammo	-1065.144897 216.122223 16.432508	1.368 0.033 1.659
mor_random_ammo	892.274231 914.695068 160.487503	1.020 -3.558 1.235
mor_random_ammo	888.299072 956.630127 161.656937	31.571 -0.474 0.623
mor_random_ammo	374.434479 956.433289 163.608414	-88.751 98.388 -89.530
mor_random_ammo	-54.138012 919.772400 162.733124	-0.725 53.419 90.020
mor_random_ammo	-51.204784 955.710938 162.690765	88.346 -100.337 -89.888
mor_random_ammo	316.374084 135.306183 160.414017	1.671 0.035 2.016
mor_random_ammo	288.110931 164.490433 160.330368	0.047 0.000 -0.030
mor_random_ammo	398.094025 -258.647125 159.859879	0.251 -0.000 -0.016
mor_random_ammo	395.963074 -242.593735 159.881790	0.959 0.008 0.906
mor_random_ammo	-917.215393 53.900028 163.659653	45.010 -47.449 -90.363
mor_random_ammo	-917.097351 4.422343 162.712997	88.874 131.030 89.766
mor_random_ammo	-893.834656 60.829163 162.697830	88.352 65.659 65.958
mor_random_ammo	-1098.249268 -929.581665 160.484512	1.425 -0.102 1.727
mor_random_ammo	-1086.581177 -928.419128 160.393616	0.831 0.009 0.957
mor_random_ammo	-811.284851 -1040.622192 0.365421	0.077 0.000 0.026
mor_random_ammo	-759.645142 -1044.506104 0.353342	0.055 0.000 -0.008
mor_random_ammo	-792.421143 -1055.848999 0.370973	0.100 0.000 0.056
mor_random_ammo	48.178150 -1212.431641 0.335247	0.047 0.000 -0.027
mor_random_ammo	21.628399 -1214.672852 0.460040	0.747 -0.022 -0.905
mor_random_ammo	-0.221022 -1193.233032 0.381026	0.186 0.001 0.167
mor_random_ammo	-796.474182 -979.541931 160.435074	1.235 0.030 1.489
mor_random_ammo	-27.690331 -1015.239929 162.669540	-1.075 -51.327 -90.005
mor_random_ammo	-57.387234 -875.636414 162.673584	-0.952 -49.663 -89.995
mor_random_ammo	-57.071880 -1021.157227 160.465622	-0.773 -2.184 -0.027
mor_random_ammo	796.164001 -1004.850708 240.486176	1.198 -0.496 1.451
mor_random_ammo	747.708374 -1020.906799 242.718857	88.955 -66.425 -65.958
mor_random_ammo	794.197388 -1011.863525 242.708847	-1.246 -34.550 90.000
mor_random_ammo	743.523865 61.115852 322.756927	90.000 175.744 180.000
mor_random_ammo	782.666931 59.997097 322.735626	89.776 -118.914 -107.209
mor_random_ammo	796.573120 -80.572960 320.485931	1.233 -6.501 1.494
mor_random_ammo	791.731812 60.973751 326.331940	0.732 -4.790 -0.674
mor_random_ammo	204.493011 -980.392578 320.484802	1.388 -8.462 1.682
mor_random_ammo	-67.064537 -162.618637 320.391571	-0.315 0.246 0.078
mor_random_ammo	-727.769226 705.709351 320.349854	-0.051 -0.000 -0.014
mor_random_ammo	-726.282043 604.110962 320.340759	-0.047 -0.000 -0.023
mor_random_ammo	-162.428131 1884.221191 320.335999	-0.047 -0.000 -0.027
mor_random_ammo	-130.021774 1885.479126 320.412018	-1.119 -0.015 1.308
mor_random_ammo	-94.062958 1887.053955 320.362610	-0.067 -0.000 0.012
mor_random_ammo	-58.374912 1887.387085 320.370605	-0.091 -0.000 0.045
mor_random_ammo	-23.432837 1889.429810 320.328613	-0.047 -0.000 -0.031
mor_random_ammo	3.512985 1891.219849 320.460968	-1.182 -0.030 1.436
mor_random_ammo	207.886108 1720.570557 320.385132	0.278 -0.001 -0.281
mor_random_ammo	183.276428 1713.960205 320.339996	0.047 0.000 -0.023
weapon_mor_r22	-79.920250 1522.751099 353.575806	-1.313 -1.040 87.282
weapon_mor_r22	-74.475815 1466.318726 353.632416	-1.173 -14.748 88.716
weapon_mor_vek	-617.536804 -309.703888 17.100700	0.520 -3.089 88.570
weapon_mor_vek	-668.651672 -315.496796 17.108692	0.404 -3.092 88.686
weapon_mor_vek	78.650269 1471.255249 353.099792	0.533 -3.089 88.557
weapon_mor_uzi	-873.009521 1465.058960 -93.962448	0.000 0.000 0.000
weapon_mor_uzi	89.017532 -924.920593 354.841400	0.000 0.000 0.000
weapon_mor_uzi	30.868919 1471.795410 354.037537	0.000 0.000 0.000
need_wash	1488.070190 208.786270 178.184525	0.166 -0.083 -0.077
item_ammo_smg1_mor	452.754547 1755.976440 0.519480	0.034 0.097 0.149
item_ammo_smg1_mor	467.926208 1759.555298 0.511899	0.087 0.058 -0.071
item_ammo_smg1_mor	462.814362 1750.168457 14.311213	-0.014 -0.760 0.042
item_ammo_smg1_mor	-721.172424 -325.858002 16.513109	-0.051 -0.214 -0.034
item_ammo_smg1_mor	-744.931091 -325.945526 16.429035	0.121 0.014 -0.060
item_ammo_smg1_mor	-759.348206 -325.960327 16.499550	-0.496 0.009 0.423
item_ammo_smg1_mor	-783.447388 -325.975525 16.487206	0.225 0.010 -0.051
item_ammo_smg1_mor	-796.466614 -325.946686 16.403463	0.076 0.013 -0.021
item_ammo_smg1_mor	-809.217957 -325.949219 16.448502	0.872 0.009 -0.562
item_ammo_smg1_mor	-821.556396 -325.979065 16.481819	0.448 -0.298 -0.183
item_ammo_smg1_mor	-833.819031 -325.992157 16.550203	0.648 0.852 -0.522
item_ammo_smg1_mor	-859.013000 -325.776062 16.499849	1.024 -0.436 -0.249
item_ammo_smg1_mor	201.789948 -1217.832031 320.536499	-0.481 -0.638 -0.342
item_ammo_smg1_mor	201.882736 -1228.583618 333.776245	-0.723 -0.742 29.820
item_ammo_smg1_mor	201.645538 -1232.601807 347.327240	-0.972 -0.146 29.619
item_ammo_smg1_mor	-70.373474 1494.925903 384.478149	0.011 0.027 0.000
item_ammo_smg1_mor	-55.407291 1497.706909 384.437775	-0.009 0.023 -0.014
item_ammo_smg1_mor	-38.217205 1499.811646 384.445984	0.032 0.018 -0.039
item_ammo_smg1_mor	-25.449953 1500.310181 384.422668	0.038 0.014 -0.056
item_ammo_smg1_mor	-0.686858 1496.341797 384.473877	-0.304 -2.285 0.172
item_ammo_smg1_mor	-45.302692 1477.387207 352.515350	0.255 -0.014 -0.223
item_ammo_smg1_mor	24.620394 1476.128784 352.415741	-0.337 0.005 0.215
item_ammo_smg1_mor	109.298653 1523.148193 352.386383	-0.088 0.005 0.046
item_ammo_smg1_mor	59.643284 1520.217041 352.396759	-0.137 0.005 0.080
weapon_mor_p229	89.955856 -1144.427612 356.713165	36.452 3.798 -1.244
weapon_mor_p229	16.783472 1516.235840 355.896332	36.635 3.483 -1.775
info_alien_spawn	48.783958 -380.526215 560.521912	0.027 -0.000 -0.027
info_alien_spawn	-23.606573 -380.084503 560.492371	0.036 0.000 -0.036
info_alien_spawn	-82.502548 -379.257904 560.505066	0.037 0.000 -0.037
info_alien_spawn	-86.093140 -311.493317 560.487000	0.041 -0.000 -0.042
info_alien_spawn	-22.385752 -307.368439 560.508484	0.033 -0.000 -0.034
info_alien_spawn	43.068035 -304.492950 560.540466	0.024 0.000 -0.024
info_alien_spawn	-73.315559 -246.823212 560.514648	0.030 0.000 -0.030
info_alien_spawn	62.359421 -247.008057 560.468445	0.042 0.000 -0.042
mor_random_weapon	-1298.026367 -315.408600 -286.858032	2.475 6.628 -91.163
mor_random_weapon	169.212143 -285.261597 -286.797028	1.842 4.927 -92.673
mor_random_weapon	241.987381 -736.690063 -286.779297	1.642 4.922 -93.132
mor_random_weapon	-602.544312 -291.400208 -286.804413	1.925 4.924 -92.483
mor_random_weapon	-921.954895 -713.118225 -286.780121	1.651 4.923 -93.110
mor_random_weapon	-288.248016 743.527405 -286.765778	1.489 4.910 -93.482
mor_random_weapon	213.006943 1824.578613 -286.802094	1.899 4.927 -92.543
mor_random_weapon	-103.736603 1010.901367 1.192032	1.965 4.719 -92.391
mor_random_weapon	-611.261780 -156.825027 1.167593	1.914 0.572 -93.787
mor_random_weapon	-1120.147095 311.676605 17.146015	2.242 2.220 -92.708
mor_random_weapon	-1042.103027 306.092468 17.226486	1.576 4.686 -93.282
mor_random_weapon	842.914001 956.564270 162.727493	-3.765 9.099 -18.194
mor_random_weapon	-296.403137 -164.272003 161.173950	1.716 3.302 -92.529
mor_random_weapon	420.735291 -324.389679 160.691681	1.969 4.378 -92.383
mor_random_weapon	431.373718 -175.625931 160.713364	1.725 4.371 -92.942
mor_random_weapon	-1088.348877 -901.183960 161.149246	2.398 -0.826 -91.581
mor_random_weapon	-803.818298 -1201.174072 1.213044	1.728 4.704 -92.934
mor_random_weapon	526.263489 61.189091 322.707153	-3.905 6.772 -16.424
mor_random_weapon	236.943787 -209.465698 321.213593	1.722 4.703 -92.947
mor_random_weapon	-244.882828 219.920319 321.222260	1.624 9.598 -93.172
mor_random_weapon	187.846466 -909.485352 321.080322	1.631 -8.943 -91.332
mor_random_weapon	-730.797119 810.624329 321.217041	1.683 4.700 -93.037
mor_random_weapon	40.673164 1900.614868 322.544281	-3.061 2.132 -35.123
item_ammo_battery_mor	-827.007568 78.478271 -249.935959	0.032 -0.092 0.258
item_ammo_battery_mor	-842.880249 77.988777 -249.947296	0.034 -0.090 0.279
item_ammo_battery_mor	-2060.424805 660.162659 6.053963	0.029 -0.068 0.464
item_ammo_battery_mor	-2047.116943 654.923340 6.092580	0.022 -0.073 0.348
item_ammo_buckshot_mor	631.599548 -550.448364 80.414810	-0.770 -0.005 0.683
item_ammo_buckshot_mor	618.615234 -551.294128 80.341080	0.530 0.003 -0.419
item_ammo_buckshot_mor	647.825806 -549.014648 80.412437	-0.782 -0.005 0.697
item_ammo_buckshot_mor	-871.571533 -976.660583 352.344147	0.615 0.003 -0.488
item_ammo_buckshot_mor	-851.719910 -965.739136 352.385010	-0.984 -0.010 0.881
item_ammo_buckshot_mor	10.607789 1301.382324 384.389801	-0.996 0.018 0.882
item_ammo_buckshot_mor	1.740418 1302.578125 384.338013	0.454 0.004 -0.357
item_ammo_buckshot_mor	-8.178485 1303.038452 384.504089	-0.012 -1.905 -0.133
item_ammo_buckshot_mor	-56.092175 1301.816406 384.385040	-0.997 -0.010 0.892
weapon_mor_beretta	-831.762390 -83.318176 -254.453171	86.486 -2.995 -34.985
weapon_mor_beretta	618.428955 1756.525024 1.493695	87.619 -57.171 -88.989
weapon_mor_beretta	1173.683594 -104.413498 161.545975	87.250 -5.090 -38.424
weapon_mor_beretta	136.926971 1519.670410 353.545624	86.602 -3.971 -35.951
need_bed	652.886658 1694.753784 18.204035	0.000 -0.022 0.000
need_bed	643.667053 1386.985596 18.075029	0.000 179.050 0.000
need_bed	496.074005 1359.340332 18.075029	0.000 174.474 0.000
need_bed	514.745789 1720.424561 18.075029	0.000 -0.023 0.000
weapon_mor_gr4	662.275513 1323.882568 0.835148	-0.590 2.657 88.051
weapon_mor_gr4	135.455658 1481.751221 352.800781	-0.395 7.907 86.916
weapon_mor_gr4	133.363373 1325.468872 352.853760	-0.681 4.523 89.701
