# morbus weapon/ammo placement overrides - Thank TTT for this lua code
# For map: para_spaceship_v7
# Exported by: Remscar
setting:	replacespawns 1
weapon_mor_ump	-6741.696777 -395.732117 816.977173	0.508 -17.815 89.374
weapon_mor_ump	-4996.848633 -5269.635742 864.942810	0.197 -8.511 89.183
weapon_mor_ump	-4966.591309 -5268.920410 864.835266	-0.324 -7.399 89.269
weapon_mor_ka47	-4848.418457 -5261.728027 865.431946	-0.641 -23.116 -84.764
weapon_mor_ka47	-4822.394531 -5263.119141 865.403015	-0.885 -17.651 -85.138
weapon_mor_sc7	-321.494293 -5627.015625 -110.324379	0.550 -0.303 -80.678
weapon_mor_sc7	-5656.583984 -447.064697 -110.692375	0.219 -4.824 87.342
weapon_mor_sc7	-5675.271973 -1113.178101 817.770935	0.514 8.752 -81.323
weapon_mor_sc7	-4800.867676 -5020.793945 865.301086	0.279 -4.822 87.241
weapon_mor_sc7	-4800.488281 -5007.820801 865.311646	0.182 -4.828 87.403
weapon_mor_sc7	-5550.926270 -5961.866699 801.294556	0.339 -4.823 87.141
weapon_mor_sc7	-5481.125488 -6993.446289 -110.708534	0.368 -4.824 87.094
mor_random_ammo	-56.058575 -8082.710449 -107.614914	0.282 -0.001 -0.285
mor_random_ammo	-71.061134 -8071.705078 -107.629059	0.099 -0.000 -0.056
mor_random_ammo	-61.313618 -8054.046387 -107.638466	0.066 -0.000 -0.011
mor_random_ammo	-57.892479 -8339.999023 584.337646	0.047 0.000 -0.025
mor_random_ammo	-85.289398 -8340.450195 584.387878	0.368 0.002 0.392
mor_random_ammo	-60.261345 -8288.189453 584.314819	0.048 -0.000 0.036
mor_random_ammo	-83.802185 -8262.118164 584.355469	0.057 0.000 -0.003
mor_random_ammo	246.397903 -8021.780762 816.352112	-0.053 -0.000 -0.011
mor_random_ammo	246.863449 -7985.081543 816.370972	0.101 -0.000 -0.058
mor_random_ammo	248.972961 -7938.385254 816.340027	0.048 0.000 -0.023
mor_random_ammo	261.657074 -7923.658203 816.337708	0.047 0.000 -0.025
mor_random_ammo	-762.825745 715.753296 -111.558578	1.071 0.028 1.288
mor_random_ammo	-726.383423 773.767761 -111.632683	0.084 0.000 0.035
mor_random_ammo	-700.390625 754.682739 -111.582085	1.660 0.036 2.010
mor_random_ammo	-354.576508 725.970703 -111.519844	0.332 0.018 0.403
mor_random_ammo	-386.700623 727.560547 -111.625511	0.122 0.000 0.086
mor_random_ammo	-365.444550 764.759888 -111.642479	0.060 0.000 0.001
mor_random_ammo	248.459808 623.328979 -111.607117	0.730 0.007 0.834
mor_random_ammo	224.000153 674.587891 -111.627235	0.109 0.000 0.068
mor_random_ammo	-1330.352783 -811.826782 -111.629021	0.100 0.000 0.057
mor_random_ammo	-1353.699585 -794.442322 -111.630829	0.091 0.000 0.045
mor_random_ammo	-2267.651367 -627.739502 -111.634567	0.077 0.000 0.026
mor_random_ammo	-2358.011963 -615.397888 -111.625587	0.123 -0.000 -0.086
mor_random_ammo	-2520.240479 -215.930511 -111.650963	0.051 0.000 -0.014
mor_random_ammo	-2492.649170 -239.498520 -111.614677	0.283 0.001 0.286
mor_random_ammo	-3060.158447 -203.753769 -111.667175	0.046 0.000 -0.028
mor_random_ammo	-3079.403076 -811.192566 -111.679878	0.047 0.000 -0.034
mor_random_ammo	-3803.409180 -415.275879 -111.526276	1.405 0.031 1.986
mor_random_ammo	-5704.470215 -7004.880859 800.487061	1.075 -0.078 1.302
mor_random_ammo	-5701.702637 -6998.208984 800.340027	0.047 -0.000 0.023
mor_random_ammo	-5324.150391 -6310.204590 512.440125	1.148 0.029 1.387
mor_random_ammo	-5370.922363 -6322.968750 506.669464	0.126 -0.842 89.464
mor_random_ammo	-5340.007813 -6581.285645 506.758545	0.005 -3.498 90.441
mor_random_ammo	-5471.955078 -6549.666504 504.342285	0.048 0.000 -0.021
mor_random_ammo	-5474.306152 -6588.777344 504.391235	0.544 0.004 0.607
mor_random_ammo	-5323.708984 -6829.124023 504.441132	1.417 -0.267 2.079
mor_random_ammo	-5469.607910 -6808.506836 512.361572	0.067 0.000 0.012
mor_random_ammo	-5472.508789 -6828.729004 504.483704	1.530 -0.059 1.855
mor_random_ammo	-5492.632324 -6786.836914 506.655060	0.045 -1.777 89.400
mor_random_ammo	-5516.519531 -6557.225098 218.620270	-0.357 -3.741 -89.368
mor_random_ammo	-5511.260742 -6585.208496 216.428726	1.481 0.035 1.799
mor_random_ammo	-5340.888672 -6546.769531 219.658478	-89.533 179.416 -179.578
mor_random_ammo	-5338.786621 -6573.425293 224.359543	0.063 0.000 0.006
mor_random_ammo	-5332.963867 -6810.789551 224.351212	0.053 0.000 -0.011
mor_random_ammo	-5330.898438 -6796.349121 216.394501	1.105 0.015 1.291
mor_random_ammo	-5297.910156 -6328.367676 -187.347137	0.363 1.016 -109.263
mor_random_ammo	-5285.551758 -6376.062500 -108.441681	-89.327 107.716 -78.402
mor_random_ammo	-5254.044434 -6161.803223 80.335258	0.047 0.000 -0.027
mor_random_ammo	-5269.780762 -6161.693359 80.471832	0.494 0.019 0.598
mor_random_ammo	-5238.845703 -6161.498535 80.339996	0.047 0.000 -0.023
mor_random_ammo	-4731.146973 -6605.576172 -111.519615	1.986 1.029 2.408
mor_random_ammo	-4731.102539 -6623.566406 -111.562782	1.183 -0.029 -1.429
mor_random_ammo	-4744.616699 -6612.206055 -111.642487	0.060 0.000 0.001
