# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: mor_station254
# Exported by: MMMM(O_O)
setting:	replacespawns 1
need_piss	-3082.965332 -2637.128662 386.556671	-0.059 -0.090 0.082
need_piss	-3129.872314 -2638.787354 386.574188	-0.025 -0.000 0.025
need_piss	-3032.862793 -2634.920898 386.535400	-0.063 -0.033 0.060
need_piss	-3191.585205 -2664.827881 410.128693	-0.126 2.301 3.014
need_piss	-3267.357666 -2664.338867 409.736267	-0.446 -2.891 1.268
need_bed	2022.644165 1726.367310 66.528908	-0.052 -0.029 0.087
need_bed	2024.073853 1673.317383 66.544136	-0.055 -0.000 0.055
need_bed	1887.449463 1737.913208 66.542427	-0.054 0.000 0.058
need_bed	1887.713501 1688.308228 66.555428	-0.043 -0.000 0.043
need_bed	1760.125488 1733.402832 66.520996	-0.077 -0.000 0.077
need_bed	1759.703369 1679.941772 66.528908	-0.069 -0.000 0.069
need_bed	1631.873291 1741.328857 66.564125	0.001 0.092 -0.057
need_bed	1633.098511 1701.625977 66.539764	-0.059 -0.000 0.059
need_bed	1507.258423 1740.333618 66.538857	-0.052 0.000 0.067
need_bed	1508.902710 1698.597046 66.460159	-0.020 -0.002 0.019
need_bed	1510.879639 1174.220215 66.578758	-0.000 -0.216 -0.067
need_bed	1515.623169 1217.154663 66.364716	0.003 -1.813 -0.018
need_bed	1637.319824 1170.390625 66.518723	-0.085 0.010 -0.080
need_bed	1643.036011 1214.387939 66.582153	-0.017 -0.000 0.018
need_bed	1900.070313 1186.058228 66.572853	-0.029 -0.037 0.024
need_bed	1902.745972 1226.828491 66.549728	-0.049 -0.000 0.049
need_bed	2026.301758 1183.037354 66.540665	-0.058 -0.000 0.058
need_bed	2022.990723 1231.380493 65.493454	0.038 -0.004 -0.023
need_bed	1773.362305 1227.541382 66.571602	-0.028 -0.000 0.028
need_bed	1773.362305 1227.541382 68.571602	-0.028 -0.000 0.028
mor_random_ammo	-1299.525635 2054.054932 97.501625	-0.283 -0.603 0.378
mor_random_ammo	-1334.304199 2098.569824 64.352043	-0.053 -0.000 -0.011
mor_random_ammo	-1353.465210 2097.645508 64.370598	-0.090 -0.000 0.044
mor_random_ammo	-1295.591309 986.856018 97.531113	1.733 0.000 2.097
mor_random_ammo	-1297.444946 1022.075134 75.826736	0.131 -0.115 0.169
