# morbus weapon/ammo placement overrides - Thank TTT for this lua code
# For map: mor_temple_v1
# Exported by: Demonkush
setting:	replacespawns 1
weapon_mor_ump	716.843872 -403.606964 0.778074	-0.558 -18.481 88.818
weapon_mor_ump	-609.516418 -633.773987 256.777252	-0.556 -18.481 88.814
weapon_mor_sc7	-416.188171 -645.578491 257.305603	0.238 -4.823 87.311
need_piss	2306.266357 -132.306030 37.002945	2.716 5.583 -23.803
need_piss	2175.898926 -128.261108 35.645782	0.081 -3.688 -23.407
need_piss	2054.250977 -126.353775 35.196838	2.423 6.233 -21.163
need_piss	1922.214844 -125.406479 34.790318	-0.045 -5.811 -22.055
need_piss	1926.545898 126.506607 35.159302	1.667 -4.211 21.559
need_piss	2053.158691 123.107368 34.502068	0.133 16.282 21.692
need_piss	2305.822754 124.593163 34.787853	0.158 10.250 22.124
mor_random_ammo	-1507.220215 1858.115723 32.343063	-0.048 -0.000 -0.021
mor_random_ammo	-1486.847656 1892.314697 32.445789	-1.668 -0.036 2.025
mor_random_ammo	-1170.190918 1863.623169 32.385933	-0.220 -0.001 0.209
mor_random_ammo	-1129.700073 1864.134521 32.374496	-0.112 -0.000 0.072
mor_random_ammo	-1227.192627 1865.368652 32.338379	-0.047 -0.000 -0.025
mor_random_ammo	431.371948 1885.640381 24.368532	-0.080 -0.000 0.033
mor_random_ammo	449.724060 1862.048462 24.348972	0.049 0.000 -0.014
mor_random_ammo	420.327606 1854.854980 24.476912	1.223 -0.020 1.717
mor_random_ammo	445.990753 1833.469360 24.327778	0.045 0.000 -0.030
mor_random_ammo	434.232819 1816.723022 24.376108	0.126 -0.000 -0.094
mor_random_ammo	438.453979 1837.205322 24.372675	0.104 -0.000 -0.065
mor_random_ammo	441.462860 1878.288818 24.385605	-0.207 0.001 -0.195
mor_random_ammo	44.364342 2513.044678 0.357643	-0.194 0.000 -0.148
mor_random_ammo	208.583344 2511.843506 0.326051	-0.047 -0.000 -0.032
mor_random_ammo	-2439.338867 108.540131 0.427844	1.477 0.035 1.792
mor_random_ammo	-2431.827637 100.210052 0.363504	0.071 0.000 0.018
mor_random_ammo	-2455.833984 81.432213 0.377844	0.149 0.001 0.120
mor_random_ammo	-275.728638 -602.256104 0.389104	0.417 0.003 0.452
mor_random_ammo	-263.366486 -624.890198 0.325314	0.047 0.000 -0.032
