# morbus weapon/ammo placement overrides - Thank TTT for this lua code
# For map: mor_turbatio
# Exported by: Demonkush
setting:	replacespawns 1
need_piss	3010.027344 121.792244 210.179306	-0.037 0.001 0.022
need_piss	3012.097900 -6.645957 210.276352	-0.159 -0.024 0.098
need_piss	3012.031982 -125.592339 210.282471	-0.059 -0.013 0.038
need_piss	2879.643799 -249.208633 210.233322	0.137 -90.920 0.008
need_piss	2750.852051 -251.539627 210.269592	-0.058 -88.701 0.000
need_piss	2621.781494 -251.075623 210.293549	0.000 84.751 -0.000
mor_random_ammo	-82.387383 819.329224 224.447617	-1.648 -0.037 2.004
mor_random_ammo	-73.571465 809.373718 224.352051	-0.053 -0.000 -0.011
mor_random_ammo	-59.063652 821.538269 224.393723	-0.372 -0.002 0.396
mor_random_ammo	-50.399864 808.696716 224.338379	-0.047 -0.000 -0.025
mor_random_ammo	-1581.849121 -1932.116455 216.377838	0.151 0.001 0.122
mor_random_ammo	-1588.178223 -1922.958130 216.376175	0.137 0.000 0.104
mor_random_ammo	-1503.346069 -1925.391602 216.372772	0.109 0.000 0.069
mor_random_ammo	-1516.085693 -1911.694458 216.322739	0.047 0.000 -0.033
mor_random_ammo	-299.562164 -3422.259277 24.393301	0.948 -0.011 -1.100
mor_random_ammo	-273.376556 -3420.643066 24.387594	0.366 -0.002 -0.389
mor_random_ammo	-299.959778 -3464.129883 24.335253	0.047 0.000 -0.027
mor_random_ammo	-278.720947 -3464.939453 24.363487	0.072 -0.000 -0.019
mor_random_ammo	-300.979065 -3369.444580 24.353348	0.055 0.000 -0.008
mor_random_ammo	-268.671509 -3372.359375 24.353357	0.054 -0.000 0.008
mor_random_ammo	-299.806152 -3314.484619 24.344587	0.049 0.000 -0.019
mor_random_ammo	-273.495819 -3315.300781 24.374487	0.122 0.000 0.085
mor_random_ammo	-211.263367 -3569.237549 24.380865	0.190 -0.001 -0.171
mor_random_ammo	-237.584229 -3556.874756 24.460838	-1.222 -0.030 1.488
mor_random_ammo	-268.147064 -3557.927734 24.338383	-0.047 -0.000 -0.025
mor_random_ammo	-296.322052 -3548.144043 24.326056	-0.047 -0.000 -0.032
mor_random_ammo	-111.478058 -3492.794189 24.339993	0.047 0.000 -0.023
mor_random_ammo	-113.491959 -3452.507568 24.353355	0.055 -0.000 0.008
mor_random_ammo	-115.913956 -3428.533447 24.351212	0.053 0.000 -0.011
mor_random_ammo	-114.687477 -3471.456299 24.392134	0.629 0.005 0.711
mor_random_ammo	-117.821312 -3511.692871 24.377827	0.152 0.001 0.124
mor_random_ammo	82.220459 -3464.841309 24.351221	0.053 -0.000 0.011
mor_random_ammo	78.298119 -3507.999512 24.359545	0.063 -0.000 -0.006
mor_random_ammo	-74.100952 -3438.393066 24.377857	0.148 0.001 0.119
mor_random_ammo	-81.685394 -3400.765137 24.355448	0.057 0.000 -0.003
mor_random_ammo	-72.620262 -3391.690674 24.353357	0.054 -0.000 0.008
mor_random_ammo	-76.466820 -3354.789307 24.367292	0.083 -0.000 -0.034
mor_random_ammo	78.229088 -3265.083008 24.390219	0.477 0.003 0.525
mor_random_ammo	68.562531 -3279.503662 24.445978	1.060 -0.027 -1.286
mor_random_ammo	77.502625 -3309.812988 24.351212	0.053 0.000 -0.011
mor_random_ammo	77.842514 -3412.968018 24.317459	0.047 0.000 -0.035
mor_random_ammo	72.756248 -3442.047119 24.390186	0.481 0.003 0.530
mor_random_ammo	112.978378 -3495.759277 24.322739	0.047 0.000 -0.033
mor_random_ammo	1289.310059 -1725.015015 32.381012	0.189 0.001 0.170
mor_random_ammo	1304.810547 -1690.157104 32.337662	0.047 -0.000 0.025
mor_random_ammo	1296.273193 -1650.898193 32.337639	0.047 0.000 -0.025
mor_random_ammo	-249.686951 1157.204102 224.440231	1.215 0.030 1.475
mor_random_ammo	-231.241959 1171.634399 224.359543	0.063 0.000 0.006
mor_random_ammo	-243.481354 1186.069580 224.370987	0.100 0.000 0.057
mor_random_ammo	-226.339172 1213.902832 224.369125	0.092 -0.000 -0.046
mor_random_ammo	-241.735794 1243.143188 224.393661	1.420 -0.024 -1.674
mor_random_ammo	-1720.545410 -2039.799194 216.374435	0.121 -0.000 -0.084
mor_random_ammo	-1712.765381 -2021.729980 216.382324	0.219 -0.001 -0.207
mor_random_ammo	-1720.880127 -2010.000732 216.361542	0.067 0.000 0.012
mor_random_ammo	-1715.703003 -2002.018066 216.386658	0.321 0.002 0.334
mor_random_ammo	-1718.502319 -1980.440430 216.372772	0.109 0.000 0.068
mor_random_ammo	1030.590942 929.975342 216.372696	0.111 -0.000 -0.071
mor_random_ammo	1048.338257 946.979614 216.322754	0.047 0.000 -0.033
mor_random_ammo	1242.649902 1000.688232 216.343079	-0.048 -0.000 -0.021
