# morbus weapon/ammo placement overrides - Thank TTT for this lua code
# For map: ttt_outpost31_b01
# Exported by: Wade
setting:	replacespawns 1
need_piss	400.814758 -144.359924 66.679207	-2.163 2.188 89.331
mor_random_ammo	1992.783325 -1879.802124 44.420128	-0.949 0.008 -1.192
mor_random_ammo	1994.577759 -1867.279785 44.394447	-0.101 -0.000 -0.175
mor_random_ammo	-137.687378 809.534729 0.353386	0.050 -0.000 0.013
mor_random_ammo	-962.541687 -691.505249 -231.229187	-0.970 -0.025 1.161
mor_random_ammo	-963.114441 -700.138794 -231.342911	-0.070 -0.000 -0.007
mor_random_ammo	-963.507629 -668.564819 -231.342239	0.071 0.000 -0.006
mor_random_ammo	-1341.668213 -2855.470947 85.666039	7.710 -0.001 -5.442
mor_random_ammo	-1352.105835 -2858.949707 89.551613	8.315 6.129 -96.765
mor_random_ammo	-480.391449 -284.028290 0.347836	0.202 -0.096 0.079
mor_random_ammo	-481.629456 -272.086273 0.325594	0.153 -0.125 0.000
mor_random_ammo	-318.084961 -204.779251 0.353344	0.055 -0.000 0.007
mor_random_ammo	-297.668182 -203.807266 0.361487	0.072 -0.000 -0.018
mor_random_ammo	-449.848053 570.827942 0.390936	0.587 0.005 0.659
mor_random_ammo	-465.744202 549.610046 0.342294	0.049 0.000 -0.020
mor_random_ammo	-445.938324 533.503296 0.393441	-0.339 -0.002 0.357
mor_random_ammo	-214.648514 434.631958 0.426986	1.254 0.030 1.502
mor_random_ammo	-188.583237 436.932953 0.367217	0.096 0.000 0.050
mor_random_ammo	811.835815 -345.410553 0.476319	-0.098 10.391 -0.024
mor_random_ammo	844.034119 -342.098419 0.481758	1.799 0.497 2.180
item_ammo_smg1_mor	-172.150681 -539.208862 0.518301	-0.377 0.866 -0.244
mor_random_rifle	-388.112885 -515.220581 1.257863	2.271 -15.604 85.519
weapon_frag	-466.112457 603.988770 2.596555	40.046 77.632 95.875
weapon_frag	-1372.997314 -2848.248535 88.902588	-0.328 136.301 0.503
weapon_frag	-1368.842529 -2866.476562 92.891068	0.000 -91.585 0.000
weapon_frag	-1381.174561 -2855.740967 95.328903	-0.000 -90.000 -0.026
mor_random_weapon	1949.821045 -1878.433350 45.234970	1.480 4.156 -93.502
mor_random_weapon	-952.208191 -698.872437 -230.464035	1.030 -126.063 -93.804
mor_random_weapon	-1353.461548 -2833.644287 85.082382	7.444 3.589 -99.906
weapon_vitamins	1977.666992 -1891.553223 49.438103	0.566 -0.001 -1.111
weapon_vitamins	245.740967 -345.942657 35.363815	0.292 0.233 -0.460
need_food	744.365173 140.343170 28.133959	0.001 -90.029 -0.001
need_food	551.386475 142.275116 28.266308	-0.152 -89.693 0.006
need_food	556.876953 269.524048 28.166119	-0.229 -89.672 0.056
need_food	748.428284 268.594666 28.134850	-0.002 -89.951 0.001
need_food	752.592529 -197.160843 52.220989	-0.022 -0.011 -0.007
mor_random_smg	-150.170624 -568.663879 1.087850	0.443 4.909 -87.595
need_wash	-1004.084045 -1221.692871 66.113937	0.006 0.004 -0.004
need_wash	-1127.827393 -1148.039795 66.205315	-0.019 90.003 0.038
need_bed	1617.686768 516.739075 47.369598	0.092 -89.391 1.168
need_bed	1619.579468 388.115631 53.713871	89.470 -0.135 -90.115
need_bed	1616.676636 693.773438 47.303902	-0.003 -90.000 1.204
need_bed	1618.742065 570.004822 47.934906	0.031 89.999 -0.744
need_bed	1797.119385 869.934570 48.170330	-0.020 90.013 0.604
need_bed	1798.381348 748.253418 47.351784	0.154 89.427 1.162
